sample_idx,cluster
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,11
14,5
15,5
16,5
17,5
18,11
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,11
36,11
37,11
38,11
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,7
52,7
53,7
54,12
55,12
56,12
57,7
58,0
59,0
60,0
61,7
62,7
63,7
64,7
65,7
66,12
67,12
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,14
99,14
100,14
101,14
102,14
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,12
112,12
113,12
114,12
115,12
116,12
117,7
118,7
119,7
120,12
121,12
122,12
123,12
124,12
125,12
126,12
127,7
128,7
129,7
130,7
131,12
132,12
133,12
134,12
135,7
136,12
137,12
138,12
139,12
140,12
141,12
142,12
143,12
144,7
145,12
146,12
147,12
148,12
149,12
150,12
151,12
152,12
153,12
154,12
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,12
165,12
166,12
167,12
168,12
169,12
170,12
171,11
172,12
173,12
174,12
175,12
176,12
177,7
178,11
179,7
180,7
181,7
182,7
183,7
184,7
185,9
186,9
187,9
188,9
189,9
190,9
191,7
192,7
193,7
194,7
195,7
196,7
197,7
198,7
199,7
200,7
201,7
202,7
203,7
204,7
205,7
206,7
207,7
208,7
209,7
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,14
218,14
219,14
220,7
221,7
222,7
223,7
224,7
225,14
226,3
227,3
228,7
229,14
230,3
231,3
232,7
233,7
234,5
235,5
236,5
237,5
238,7
239,7
240,7
241,14
242,14
243,14
244,14
245,14
246,3
247,3
248,3
249,14
250,7
251,7
252,7
253,7
254,11
255,12
256,12
257,12
258,12
259,14
260,14
261,14
262,14
263,7
264,12
265,12
266,12
267,7
268,14
269,3
270,3
271,14
272,14
273,3
274,3
275,7
276,7
277,7
278,7
279,14
280,14
281,5
282,5
283,5
284,5
285,7
286,7
287,7
288,7
289,14
290,14
291,14
292,14
293,14
294,3
295,3
296,3
297,11
298,14
299,7
300,7
301,7
302,7
303,7
304,7
305,0
306,7
307,7
308,7
309,7
310,7
311,7
312,7
313,7
314,7
315,7
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,7
324,7
325,14
326,7
327,7
328,7
329,7
330,7
331,7
332,7
333,7
334,7
335,7
336,7
337,7
338,7
339,7
340,7
341,7
342,7
343,0
344,7
345,7
346,7
347,7
348,7
349,7
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,7
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,7
397,7
398,7
399,14
400,7
401,7
402,14
403,14
404,14
405,14
406,14
407,14
408,14
409,14
410,14
411,14
412,14
413,14
414,14
415,14
416,14
417,14
418,14
419,14
420,14
421,14
422,5
423,0
424,7
425,11
426,11
427,14
428,14
429,14
430,14
431,14
432,14
433,14
434,14
435,14
436,14
437,14
438,14
439,14
440,14
441,14
442,7
443,7
444,7
445,11
446,11
447,11
448,11
449,11
450,11
451,11
452,11
453,11
454,11
455,11
456,11
457,11
458,14
459,11
460,0
461,14
462,14
463,14
464,14
465,14
466,14
467,14
468,14
469,5
470,11
471,14
472,7
473,14
474,14
475,14
476,14
477,14
478,14
479,14
480,14
481,14
482,14
483,7
484,7
485,7
486,7
487,7
488,7
489,7
490,7
491,7
492,7
493,7
494,7
495,7
496,7
497,7
498,7
499,7
500,7
501,7
502,7
503,7
504,7
505,7
506,5
507,5
508,7
509,7
510,5
511,5
512,5
513,5
514,5
515,7
516,7
517,7
518,7
519,7
520,7
521,9
522,9
523,9
524,9
525,7
526,7
527,7
528,5
529,7
530,7
531,7
532,7
533,7
534,7
535,7
536,7
537,7
538,7
539,7
540,7
541,9
542,9
543,9
544,9
545,9
546,9
547,5
548,11
549,11
550,2
551,7
552,9
553,9
554,9
555,7
556,7
557,7
558,7
559,14
560,11
561,7
562,7
563,7
