algo,csv,cluster,n_contacts,n_patients,n_conditions
20260417_085145,labels_k20_average_scale10pct,1,3,1,1
20260417_085145,labels_k20_average_scale10pct,2,1,1,1
20260417_085145,labels_k20_average_scale10pct,3,4,1,1
20260417_085145,labels_k20_average_scale10pct,4,3,1,1
20260417_085145,labels_k20_average_scale10pct,6,125,6,3
20260417_085145,labels_k20_average_scale10pct,7,3,1,2
20260417_085145,labels_k20_average_scale10pct,8,1,1,1
20260417_085145,labels_k20_average_scale10pct,9,5,2,1
20260417_085145,labels_k20_average_scale10pct,11,2,1,1
20260417_085145,labels_k20_average_scale10pct,12,17,2,3
20260417_085145,labels_k20_average_scale10pct,13,28,6,3
20260417_085145,labels_k20_average_scale10pct,14,3,1,1
20260417_085145,labels_k20_average_scale10pct,15,3,1,1
20260417_085145,labels_k20_average_scale10pct,16,8,1,2
20260417_085145,labels_k20_average_scale10pct,17,2,1,1
20260417_085145,labels_k20_average_scale10pct,18,3,2,2
20260417_085145,labels_k20_average_scale10pct,19,1,1,1
20260417_085145,labels_k24_scale10pct,0,6,3,2
20260417_085145,labels_k24_scale10pct,1,21,5,2
20260417_085145,labels_k24_scale10pct,2,3,1,1
20260417_085145,labels_k24_scale10pct,3,17,2,3
20260417_085145,labels_k24_scale10pct,4,8,2,2
20260417_085145,labels_k24_scale10pct,5,15,3,3
20260417_085145,labels_k24_scale10pct,6,16,1,3
20260417_085145,labels_k24_scale10pct,7,7,1,2
20260417_085145,labels_k24_scale10pct,8,16,4,3
20260417_085145,labels_k24_scale10pct,9,19,4,3
20260417_085145,labels_k24_scale10pct,10,5,2,1
20260417_085145,labels_k24_scale10pct,13,5,2,1
20260417_085145,labels_k24_scale10pct,14,4,1,1
20260417_085145,labels_k24_scale10pct,15,4,3,2
20260417_085145,labels_k24_scale10pct,16,4,1,2
20260417_085145,labels_k24_scale10pct,17,18,1,2
20260417_085145,labels_k24_scale10pct,18,2,1,1
20260417_085145,labels_k24_scale10pct,19,17,4,2
20260417_085145,labels_k24_scale10pct,20,8,4,3
20260417_085145,labels_k24_scale10pct,21,6,4,3
20260417_085145,labels_k24_scale10pct,22,9,2,2
20260417_085145,labels_k24_scale10pct,23,2,1,1
