k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
1,1,1,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,4,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,1,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,1,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
1,1,1,6,1,1,7,4,4,5,10,15,7,7,10,15,15,15,15,20,20,10,1,26,27,29
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,7,3,0,0,7,0,7,7,21,21,21,21,21,27,27,27
0,0,0,7,0,3,0,3,3,3,3,3,14,3,3,3,3,21,21,21,14,21,21,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
2,5,5,5,5,8,5,4,8,8,8,8,16,16,8,8,8,8,8,8,8,8,4,27,27,8
3,0,0,0,7,7,7,7,7,7,3,3,0,0,3,3,3,7,21,21,21,21,0,27,27,27
3,0,0,3,7,3,7,3,7,3,3,3,3,3,3,3,3,21,21,21,21,21,21,27,27,27
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,21,27,27,27
3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,27,27,27
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,27,27,27
1,1,1,6,1,1,10,4,4,10,10,15,8,10,10,15,15,15,10,15,15,10,10,27,10,10
0,0,0,0,7,7,7,4,7,5,7,7,0,0,15,10,20,20,10,4,4,4,4,27,27,29
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,14,27,27,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,0,7,7
