k,var_explained,rss,n_iter_used,converged,median_top_weight,frac_no_majority,min_effective_support,median_effective_support,seconds
5,0.2906595879700078,1097.2146790875659,216,True,0.5948036468412828,0.28706438275251034,16.803289995263132,24.752713872751645,36.95405435562134
6,0.31454571004770004,1060.2673921070896,150,True,0.5898833828452726,0.3301831069108092,16.896429025566082,19.93256483453861,26.86102294921875
7,0.3376610138611009,1024.5124143481742,125,True,0.5696174624226316,0.35735380980507975,15.527739414203928,17.931111921418026,21.80139470100403
8,0.36133059841792414,987.9000697203979,155,True,0.5568161430107584,0.39338452451269934,8.875290410208956,15.788021239705614,27.124211311340332
9,0.37673377073052994,964.0742923090418,290,True,0.563628040461708,0.3797991730655641,9.05065914279959,15.86696564381451,49.418434619903564
10,0.3886793826433418,945.5967031020332,319,True,0.5528511092560315,0.3987005316007088,7.279824139374995,15.768848506673038,54.00424098968506
11,0.4000673973231993,927.9816107422932,748,True,0.5646908996604282,0.3727111636148848,6.283779867553934,16.15086605911755,127.81938290596008
12,0.41048206964269474,911.8720938544351,175,True,0.5444556412237735,0.41287655050206734,4.563799269762899,14.18591826759473,31.341064929962158
13,0.42018574068961656,896.862360680979,435,True,0.5464614226989499,0.41878322504430004,6.0017604722501146,14.402770958353509,77.9369170665741
14,0.4276436808585966,885.3263459687427,270,True,0.5518728593556655,0.4087418783225044,6.862725874516272,12.587301473768477,49.35976767539978
15,0.4331136003146445,876.8654211168414,213,True,0.545179111628322,0.4199645599527466,4.5649836223984215,12.053299418463656,39.06117868423462
16,0.4402544863812963,865.8198287874834,171,True,0.5544616022239436,0.41405788541051386,4.587822991815866,12.300095221298593,31.515185117721558
17,0.4455327226420236,857.6554013747148,444,True,0.5281724304932486,0.44890726520968693,3.5454359474459154,12.289109465311112,79.44655990600586
18,0.4542002373790722,844.2484049038926,1105,True,0.5365864543735617,0.4258712344949793,2.3646098331324064,12.653453419606864,196.59930849075317
19,0.4592941866387549,836.369034424695,478,True,0.5293618887790119,0.4524512699350266,1.9006005998489912,11.937486979948646,85.24865984916687
20,0.4620495728335142,832.1069761404458,236,True,0.5253551039304065,0.44890726520968693,1.827827041343255,11.16899186700506,43.60612750053406
21,0.4660494275487339,825.9199617911618,415,True,0.5205934169360394,0.4630832841110455,2.4409181690858555,9.797696057564679,77.57982349395752
22,0.47129766295315667,817.8019399960124,423,True,0.5176946787229335,0.46839929119905493,2.121381192294959,9.183468707406123,77.87914872169495
23,0.4793458558836007,805.3529165459871,469,True,0.5177582079287647,0.470761961015948,1.6655048062793334,10.548037153083685,83.07681202888489
24,0.48172882204691025,801.6669212046675,378,True,0.5200542507549203,0.4630832841110455,1.7535764529595161,10.14550783983573,66.48774886131287
25,0.48721938039747337,793.1740719091026,586,True,0.5268392162285503,0.45067926757235677,1.6972584092241443,10.33200497256219,102.95028448104858
26,0.4890127770934656,790.4000283795108,484,True,0.5188384432628845,0.4654459539279386,1.472211447036899,9.752948514257877,86.43896436691284
27,0.49606107895085516,779.4976462095224,329,True,0.5200989315822787,0.464264619019492,1.5724019011208947,11.245619363462046,58.90528130531311
28,0.5033755861705465,768.1834949844856,358,True,0.5313994774367736,0.4536326048434731,1.7229622418083523,10.202129221999705,64.99117827415466
29,0.5074452594077197,761.8884846633656,410,True,0.5325755738696782,0.44713526284701716,1.0,10.565730822026381,73.91466212272644
30,0.5110810941351032,756.2645399874871,328,True,0.5373154745794642,0.45304193738924986,1.0665031060814298,10.633887623228759,60.878886222839355
