k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
5,0,0,0.395582561571153,concat_hg,kmeans,k-means,dB,home,1693,900
5,0,1,0.4139491454645242,concat_hg,kmeans,k-means,dB,home,1693,900
5,0,2,0.3960899052369324,concat_hg,kmeans,k-means,dB,home,1693,900
5,0,3,0.4241968928736724,concat_hg,kmeans,k-means,dB,home,1693,900
5,1,0,0.4068445379566044,concat_hg,kmeans,k-means,dB,home,1693,900
5,1,1,0.4333205469029895,concat_hg,kmeans,k-means,dB,home,1693,900
5,1,2,0.4079185706014581,concat_hg,kmeans,k-means,dB,home,1693,900
5,1,3,0.4175237416625544,concat_hg,kmeans,k-means,dB,home,1693,900
5,2,0,0.390551580623282,concat_hg,kmeans,k-means,dB,home,1693,900
5,2,1,0.4158601416125973,concat_hg,kmeans,k-means,dB,home,1693,900
5,2,2,0.395847964289216,concat_hg,kmeans,k-means,dB,home,1693,900
5,2,3,0.4059594666246235,concat_hg,kmeans,k-means,dB,home,1693,900
5,3,0,0.3845109569576335,concat_hg,kmeans,k-means,dB,home,1693,900
5,3,1,0.4103162930417638,concat_hg,kmeans,k-means,dB,home,1693,900
5,3,2,0.3799807290330339,concat_hg,kmeans,k-means,dB,home,1693,900
5,3,3,0.4075525724951941,concat_hg,kmeans,k-means,dB,home,1693,900
6,0,0,0.3933871080024571,concat_hg,kmeans,k-means,dB,home,1693,900
6,0,1,0.4249606109105359,concat_hg,kmeans,k-means,dB,home,1693,900
6,0,2,0.3991767520349073,concat_hg,kmeans,k-means,dB,home,1693,900
6,0,3,0.4248591502054328,concat_hg,kmeans,k-means,dB,home,1693,900
6,1,0,0.4166427809730507,concat_hg,kmeans,k-means,dB,home,1693,900
6,1,1,0.4505821228629327,concat_hg,kmeans,k-means,dB,home,1693,900
6,1,2,0.4315024642491589,concat_hg,kmeans,k-means,dB,home,1693,900
6,1,3,0.4473971009986068,concat_hg,kmeans,k-means,dB,home,1693,900
6,2,0,0.4105382007964117,concat_hg,kmeans,k-means,dB,home,1693,900
6,2,1,0.447595236232323,concat_hg,kmeans,k-means,dB,home,1693,900
6,2,2,0.4203096548266322,concat_hg,kmeans,k-means,dB,home,1693,900
6,2,3,0.43452318993572,concat_hg,kmeans,k-means,dB,home,1693,900
6,3,0,0.4002021779457965,concat_hg,kmeans,k-means,dB,home,1693,900
6,3,1,0.4211589353250887,concat_hg,kmeans,k-means,dB,home,1693,900
