k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
5,0,0,0.4931629460747924,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,0,1,0.5220600410797248,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,0,2,0.5031675064945875,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,0,3,0.5105143195880677,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,1,0,0.5109466249866084,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,1,1,0.5363394358619811,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,1,2,0.518263832429882,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,1,3,0.5308116952573991,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,2,0,0.5014400517830333,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,2,1,0.5262467549307566,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,2,2,0.5114296924463241,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,2,3,0.5217564166236113,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,3,0,0.4764916241424241,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,3,1,0.5018284653489911,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,3,2,0.48775639259205494,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
5,3,3,0.49467836786657027,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,0,0,0.5217007028412082,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,0,1,0.5506048192942351,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,0,2,0.5315871229575939,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,0,3,0.5359271441434894,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,1,0,0.5345683962361765,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,1,1,0.5587292534232897,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,1,2,0.5425790685632588,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,1,3,0.5467195525044124,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,2,0,0.526365782626644,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,2,1,0.5507441615682505,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,2,2,0.5323977228869528,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,2,3,0.5430073687027398,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,3,0,0.4998884368159582,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,3,1,0.5265770655692869,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,3,2,0.5125329014098811,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
6,3,3,0.5163300774590169,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,0,0,0.5356096698188578,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,0,1,0.5600972092187058,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,0,2,0.5400426462604864,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,0,3,0.5465077695137595,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,1,0,0.5486157455664773,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,1,1,0.5737234678646996,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,1,2,0.5523420406111489,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,1,3,0.5631335373692259,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,2,0,0.5378871765800991,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,2,1,0.5591717527512303,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,2,2,0.5491652501112972,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,2,3,0.5536176365266463,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,3,0,0.5155399989142764,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,3,1,0.5429167245791745,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,3,2,0.5265651931391357,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
7,3,3,0.531054698000882,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,0,0,0.5365205885948767,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,0,1,0.5626003555742356,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,0,2,0.545405371639525,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,0,3,0.5512196450725765,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,1,0,0.5557181864231251,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,1,1,0.5687042538581145,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,1,2,0.5579194346416135,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,1,3,0.5646446026362537,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,2,0,0.5282875453022599,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,2,1,0.5580575296536532,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,2,2,0.5499664633356548,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,2,3,0.556309183466393,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,3,0,0.5165048148956688,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,3,1,0.5395990314861563,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
8,3,2,0.5340392202879714,concat_hg,cnmf,convex NMF,unit-norm,home,1680,900
