k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
5,0,0,0.36968287609086636,concat_hg,hierarchical,Ward,dB,home,1693,900
5,0,1,0.4066452434010821,concat_hg,hierarchical,Ward,dB,home,1693,900
5,0,2,0.36374535596920654,concat_hg,hierarchical,Ward,dB,home,1693,900
5,0,3,0.3922028570546582,concat_hg,hierarchical,Ward,dB,home,1693,900
5,1,0,0.3933493053927336,concat_hg,hierarchical,Ward,dB,home,1693,900
5,1,1,0.4229746098976708,concat_hg,hierarchical,Ward,dB,home,1693,900
5,1,2,0.39568853324226416,concat_hg,hierarchical,Ward,dB,home,1693,900
5,1,3,0.4218349619562013,concat_hg,hierarchical,Ward,dB,home,1693,900
5,2,0,0.3707796614389537,concat_hg,hierarchical,Ward,dB,home,1693,900
5,2,1,0.409805909420756,concat_hg,hierarchical,Ward,dB,home,1693,900
5,2,2,0.38073114433539645,concat_hg,hierarchical,Ward,dB,home,1693,900
5,2,3,0.3998480699529464,concat_hg,hierarchical,Ward,dB,home,1693,900
5,3,0,0.35541843252735394,concat_hg,hierarchical,Ward,dB,home,1693,900
5,3,1,0.38993370396525295,concat_hg,hierarchical,Ward,dB,home,1693,900
5,3,2,0.3717804453860507,concat_hg,hierarchical,Ward,dB,home,1693,900
5,3,3,0.3895445278442007,concat_hg,hierarchical,Ward,dB,home,1693,900
6,0,0,0.3726496960822011,concat_hg,hierarchical,Ward,dB,home,1693,900
6,0,1,0.4085671691445919,concat_hg,hierarchical,Ward,dB,home,1693,900
6,0,2,0.38611362618584877,concat_hg,hierarchical,Ward,dB,home,1693,900
6,0,3,0.41729382411798277,concat_hg,hierarchical,Ward,dB,home,1693,900
6,1,0,0.4145565659636328,concat_hg,hierarchical,Ward,dB,home,1693,900
6,1,1,0.45073531800601185,concat_hg,hierarchical,Ward,dB,home,1693,900
6,1,2,0.40935029437087955,concat_hg,hierarchical,Ward,dB,home,1693,900
6,1,3,0.4271038011372652,concat_hg,hierarchical,Ward,dB,home,1693,900
6,2,0,0.39904592908908587,concat_hg,hierarchical,Ward,dB,home,1693,900
6,2,1,0.436321854212981,concat_hg,hierarchical,Ward,dB,home,1693,900
6,2,2,0.4043642170473334,concat_hg,hierarchical,Ward,dB,home,1693,900
6,2,3,0.42840702324797864,concat_hg,hierarchical,Ward,dB,home,1693,900
6,3,0,0.37777876239574404,concat_hg,hierarchical,Ward,dB,home,1693,900
6,3,1,0.4125411381534586,concat_hg,hierarchical,Ward,dB,home,1693,900
6,3,2,0.39320453556006707,concat_hg,hierarchical,Ward,dB,home,1693,900
6,3,3,0.40932336386025303,concat_hg,hierarchical,Ward,dB,home,1693,900
7,0,0,0.4015529851120895,concat_hg,hierarchical,Ward,dB,home,1693,900
7,0,1,0.4376618561981025,concat_hg,hierarchical,Ward,dB,home,1693,900
7,0,2,0.4088313523411502,concat_hg,hierarchical,Ward,dB,home,1693,900
7,0,3,0.4306636459271983,concat_hg,hierarchical,Ward,dB,home,1693,900
7,1,0,0.438948212031697,concat_hg,hierarchical,Ward,dB,home,1693,900
7,1,1,0.46651362195587853,concat_hg,hierarchical,Ward,dB,home,1693,900
7,1,2,0.427638960488971,concat_hg,hierarchical,Ward,dB,home,1693,900
7,1,3,0.4567403447461007,concat_hg,hierarchical,Ward,dB,home,1693,900
7,2,0,0.42963535903941896,concat_hg,hierarchical,Ward,dB,home,1693,900
7,2,1,0.4454630159933466,concat_hg,hierarchical,Ward,dB,home,1693,900
7,2,2,0.41610557139642934,concat_hg,hierarchical,Ward,dB,home,1693,900
