k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
5,0,0,0.395582561571153,concat_hg,kmeans,k-means,dB,home,1693,900
5,0,1,0.4139491454645242,concat_hg,kmeans,k-means,dB,home,1693,900
5,0,2,0.39608990523693244,concat_hg,kmeans,k-means,dB,home,1693,900
5,0,3,0.42419689287367246,concat_hg,kmeans,k-means,dB,home,1693,900
5,1,0,0.40684453795660447,concat_hg,kmeans,k-means,dB,home,1693,900
5,1,1,0.4333205469029895,concat_hg,kmeans,k-means,dB,home,1693,900
5,1,2,0.4079185706014581,concat_hg,kmeans,k-means,dB,home,1693,900
5,1,3,0.41752374166255446,concat_hg,kmeans,k-means,dB,home,1693,900
5,2,0,0.390551580623282,concat_hg,kmeans,k-means,dB,home,1693,900
5,2,1,0.4158601416125973,concat_hg,kmeans,k-means,dB,home,1693,900
5,2,2,0.395847964289216,concat_hg,kmeans,k-means,dB,home,1693,900
5,2,3,0.40595946662462357,concat_hg,kmeans,k-means,dB,home,1693,900
5,3,0,0.3845109569576335,concat_hg,kmeans,k-means,dB,home,1693,900
5,3,1,0.41031629304176387,concat_hg,kmeans,k-means,dB,home,1693,900
5,3,2,0.3799807290330339,concat_hg,kmeans,k-means,dB,home,1693,900
5,3,3,0.40755257249519417,concat_hg,kmeans,k-means,dB,home,1693,900
6,0,0,0.39338710800245713,concat_hg,kmeans,k-means,dB,home,1693,900
6,0,1,0.42496061091053594,concat_hg,kmeans,k-means,dB,home,1693,900
6,0,2,0.3991767520349073,concat_hg,kmeans,k-means,dB,home,1693,900
6,0,3,0.42485915020543286,concat_hg,kmeans,k-means,dB,home,1693,900
6,1,0,0.41664278097305074,concat_hg,kmeans,k-means,dB,home,1693,900
6,1,1,0.45058212286293275,concat_hg,kmeans,k-means,dB,home,1693,900
6,1,2,0.43150246424915895,concat_hg,kmeans,k-means,dB,home,1693,900
6,1,3,0.44739710099860686,concat_hg,kmeans,k-means,dB,home,1693,900
6,2,0,0.4105382007964117,concat_hg,kmeans,k-means,dB,home,1693,900
6,2,1,0.447595236232323,concat_hg,kmeans,k-means,dB,home,1693,900
6,2,2,0.4203096548266322,concat_hg,kmeans,k-means,dB,home,1693,900
6,2,3,0.43452318993572003,concat_hg,kmeans,k-means,dB,home,1693,900
6,3,0,0.4002021779457965,concat_hg,kmeans,k-means,dB,home,1693,900
6,3,1,0.42115893532508875,concat_hg,kmeans,k-means,dB,home,1693,900
