k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
2,0,0,0.23746535207880404,concat_hg,kmeans,k-means,dB,home,1266,900
2,0,1,0.24260935859803834,concat_hg,kmeans,k-means,dB,home,1266,900
2,0,2,0.29606267339967474,concat_hg,kmeans,k-means,dB,home,1266,900
2,0,3,0.29008168607690876,concat_hg,kmeans,k-means,dB,home,1266,900
2,1,0,0.25357933659721454,concat_hg,kmeans,k-means,dB,home,1266,900
2,1,1,0.25750228726155244,concat_hg,kmeans,k-means,dB,home,1266,900
2,1,2,0.2831436094431735,concat_hg,kmeans,k-means,dB,home,1266,900
2,1,3,0.2810766300335409,concat_hg,kmeans,k-means,dB,home,1266,900
2,2,0,0.22547628172510692,concat_hg,kmeans,k-means,dB,home,1266,900
2,2,1,0.2334359755545211,concat_hg,kmeans,k-means,dB,home,1266,900
2,2,2,0.2854831096707189,concat_hg,kmeans,k-means,dB,home,1266,900
2,2,3,0.28566040321605457,concat_hg,kmeans,k-means,dB,home,1266,900
2,3,0,0.22491623816688244,concat_hg,kmeans,k-means,dB,home,1266,900
2,3,1,0.22952773198012166,concat_hg,kmeans,k-means,dB,home,1266,900
2,3,2,0.28611149119908474,concat_hg,kmeans,k-means,dB,home,1266,900
2,3,3,0.28483361448637956,concat_hg,kmeans,k-means,dB,home,1266,900
3,0,0,0.35229528609593863,concat_hg,kmeans,k-means,dB,home,1266,900
3,0,1,0.34964469863529424,concat_hg,kmeans,k-means,dB,home,1266,900
3,0,2,0.38952008771081015,concat_hg,kmeans,k-means,dB,home,1266,900
3,0,3,0.3866764019325162,concat_hg,kmeans,k-means,dB,home,1266,900
3,1,0,0.34125351363121814,concat_hg,kmeans,k-means,dB,home,1266,900
3,1,1,0.3359461860463724,concat_hg,kmeans,k-means,dB,home,1266,900
3,1,2,0.39737770229614644,concat_hg,kmeans,k-means,dB,home,1266,900
3,1,3,0.384600060518027,concat_hg,kmeans,k-means,dB,home,1266,900
3,2,0,0.3234240536582015,concat_hg,kmeans,k-means,dB,home,1266,900
3,2,1,0.3203281904582397,concat_hg,kmeans,k-means,dB,home,1266,900
3,2,2,0.36896662034260075,concat_hg,kmeans,k-means,dB,home,1266,900
3,2,3,0.3635469218010283,concat_hg,kmeans,k-means,dB,home,1266,900
3,3,0,0.328971014271525,concat_hg,kmeans,k-means,dB,home,1266,900
3,3,1,0.32345370230964354,concat_hg,kmeans,k-means,dB,home,1266,900
3,3,2,0.37307864344572605,concat_hg,kmeans,k-means,dB,home,1266,900
3,3,3,0.3670313548578038,concat_hg,kmeans,k-means,dB,home,1266,900
4,0,0,0.3894425760807194,concat_hg,kmeans,k-means,dB,home,1266,900
4,0,1,0.36931203308114824,concat_hg,kmeans,k-means,dB,home,1266,900
4,0,2,0.40453099371929635,concat_hg,kmeans,k-means,dB,home,1266,900
4,0,3,0.4175259694023591,concat_hg,kmeans,k-means,dB,home,1266,900
4,1,0,0.37757085628430465,concat_hg,kmeans,k-means,dB,home,1266,900
4,1,1,0.36959644547191994,concat_hg,kmeans,k-means,dB,home,1266,900
4,1,2,0.42626424516189587,concat_hg,kmeans,k-means,dB,home,1266,900
4,1,3,0.4135862352539408,concat_hg,kmeans,k-means,dB,home,1266,900
4,2,0,0.3571299149822109,concat_hg,kmeans,k-means,dB,home,1266,900
4,2,1,0.3615832067668524,concat_hg,kmeans,k-means,dB,home,1266,900
4,2,2,0.3951646718776375,concat_hg,kmeans,k-means,dB,home,1266,900
4,2,3,0.39660748853643946,concat_hg,kmeans,k-means,dB,home,1266,900
4,3,0,0.3639661732167483,concat_hg,kmeans,k-means,dB,home,1266,900
4,3,1,0.36048338364233135,concat_hg,kmeans,k-means,dB,home,1266,900
4,3,2,0.4059604379064299,concat_hg,kmeans,k-means,dB,home,1266,900
4,3,3,0.4025074973056557,concat_hg,kmeans,k-means,dB,home,1266,900
5,0,0,0.40414236528184755,concat_hg,kmeans,k-means,dB,home,1266,900
5,0,1,0.4117298074580146,concat_hg,kmeans,k-means,dB,home,1266,900
5,0,2,0.44115668608960945,concat_hg,kmeans,k-means,dB,home,1266,900
5,0,3,0.40485032401599863,concat_hg,kmeans,k-means,dB,home,1266,900
5,1,0,0.40263984541786735,concat_hg,kmeans,k-means,dB,home,1266,900
5,1,1,0.4065934101204771,concat_hg,kmeans,k-means,dB,home,1266,900
5,1,2,0.4509101624603955,concat_hg,kmeans,k-means,dB,home,1266,900
5,1,3,0.4459109431247106,concat_hg,kmeans,k-means,dB,home,1266,900
5,2,0,0.38749109927879033,concat_hg,kmeans,k-means,dB,home,1266,900
5,2,1,0.3843369452557406,concat_hg,kmeans,k-means,dB,home,1266,900
