method,feature_set,run_id,cluster,n_contacts,n_patients,n_conditions
hierarchical,hg,20260605_183314,0,238,14,3
hierarchical,hg,20260605_183314,1,80,12,3
hierarchical,hg,20260605_183314,2,72,10,3
hierarchical,hg,20260605_183314,3,538,22,3
hierarchical,hg,20260605_183314,4,253,18,3
hierarchical,hg,20260605_183314,5,590,25,3
hierarchical,hg,20260605_183314,6,53,8,3
hierarchical,hg,20260605_183314,7,130,17,3
kmeans,hg,20260605_183018,0,530,26,3
kmeans,hg,20260605_183018,1,112,15,3
kmeans,hg,20260605_183018,2,208,15,3
kmeans,hg,20260605_183018,3,317,24,3
kmeans,hg,20260605_183018,4,440,22,3
kmeans,hg,20260605_183018,5,29,6,3
kmeans,hg,20260605_183018,6,318,20,3
kmeans,hg,20260605_183250,0,530,26,3
kmeans,hg,20260605_183250,1,112,15,3
kmeans,hg,20260605_183250,2,208,15,3
kmeans,hg,20260605_183250,3,317,24,3
kmeans,hg,20260605_183250,4,440,22,3
kmeans,hg,20260605_183250,5,29,6,3
kmeans,hg,20260605_183250,6,318,20,3
