k,var_explained,sizes,frac_dominant,frac_no_majority,median_top_weight
5,0.5185681264939667,294 297 228 346 528,0.3071470761961016,0.6928529238038984,0.4314612717792573
6,0.5445189926700653,280 240 253 280 462 178,0.19492025989367986,0.8050797401063201,0.386774364940145
7,0.555429086032728,215 248 227 145 205 446 207,0.1512108682811577,0.8487891317188423,0.3605014862971571
8,0.5615694626417516,165 436 185 199 228 162 175 143,0.12935617247489664,0.8706438275251034,0.3543369000707534
9,0.559933500815908,211 342 188 165 176 201 188 94 128,0.11813349084465447,0.8818665091553456,0.3431259803755945
10,0.5462317030129908,175 183 213 148 127 319 113 178 147 90,0.112817483756645,0.887182516243355,0.34082782674218653
11,0.5410850412237421,195 213 189 181 153 88 101 156 162 139 116,0.08682811577082103,0.9131718842291789,0.32453348140894067
12,0.5374091486547357,182 126 95 211 139 180 154 137 180 98 79 112,0.0980507974010632,0.9019492025989368,0.32847422625801465
13,0.5141289233516071,131 137 183 156 101 104 117 203 79 185 66 89 142,0.09923213230950975,0.9007678676904902,0.3248167447530191
14,0.4986095851013451,112 115 129 166 128 119 113 75 96 142 82 209 65 142,0.10572947430596574,0.8942705256940343,0.3119351741003183
15,0.48101349157318274,111 203 132 94 165 125 135 132 160 55 80 124 58 57 62,0.12285883047844064,0.8771411695215594,0.3138592372559411
16,0.45712745257365983,62 130 56 136 160 130 72 79 154 55 94 106 96 85 217 61,0.10868281157708211,0.8913171884229178,0.3196515543376698
17,0.4020893159072704,73 103 115 109 136 142 63 60 78 197 66 39 87 101 99 133 92,0.09864146485528648,0.9013585351447135,0.31196057838751556
18,0.4009149798441949,94 224 70 60 94 77 97 114 130 82 119 148 58 56 30 74 116 50,0.07796810395747195,0.9220318960425281,0.3139671269517982
19,0.37931045880344383,57 140 80 55 36 92 99 90 173 121 75 71 89 55 148 94 77 71 70,0.09686946249261666,0.9031305375073834,0.2834493471388332
20,0.33834105705158923,80 69 36 146 152 56 115 94 87 117 56 160 69 29 74 53 113 59 74 54,0.09214412285883047,0.9078558771411696,0.29820490272531053
21,0.26637826508073015,43 57 116 118 72 56 97 62 76 98 124 47 78 131 57 76 88 59 58 110 70,0.09568812758417011,0.9043118724158299,0.3055553293211742
22,0.24602800717722373,72 40 90 78 86 101 58 118 97 115 77 52 37 146 76 53 64 52 116 62 33 70,0.10927347903130538,0.8907265209686946,0.29126080899743195
23,0.20297362414742048,57 63 40 55 93 91 103 57 56 52 75 120 51 140 57 80 37 88 92 84 79 50 73,0.10513880685174247,0.8948611931482575,0.28156433141962367
24,0.1664382788056924,76 122 148 138 75 51 65 22 87 43 16 24 89 56 36 101 101 58 74 43 97 39 93 39,0.10809214412285884,0.8919078558771412,0.2865506394129288
25,0.09838600298245048,119 36 65 51 49 54 57 114 63 37 55 37 95 89 89 76 42 35 142 55 70 99 49 74 41,0.09568812758417011,0.9043118724158299,0.27929605206036495
26,0.036623217864036994,55 83 65 96 64 56 72 52 33 76 53 51 41 86 88 36 44 136 21 43 73 34 86 68 130 51,0.10632014176018902,0.893679858239811,0.2892136741718532
27,-0.004884027034180116,87 29 44 72 52 15 37 78 80 101 63 75 69 98 124 53 89 36 57 88 54 39 87 38 53 44 31,0.10100413467217956,0.8989958653278204,0.27959518372053055
28,-0.06070542090044828,111 35 53 70 67 80 30 91 55 139 32 84 57 58 59 65 45 73 71 40 38 15 53 75 25 49 81 42,0.10986414648552864,0.8901358535144713,0.2800636186703298
29,-0.020112477338167567,85 76 41 34 50 74 121 109 13 54 49 62 51 54 61 30 58 75 146 34 37 34 94 25 24 36 43 71 52,0.08623744831659776,0.9137625516834023,0.27883484405765263
30,-0.1192571813153247,76 83 46 53 59 22 63 79 47 38 41 29 36 46 119 123 107 12 50 34 57 64 52 32 45 37 50 28 106 59,0.0874187832250443,0.9125812167749557,0.2672642786686997
