sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,3,1,3,6,2,9,7,10,1,7,1,5,11,9,18,16,15,8,7,12,23,1,14,13,15,19
1,3,1,3,6,7,9,7,9,1,7,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
2,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
3,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
4,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
5,1,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
6,3,1,3,6,7,9,7,9,1,7,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
7,3,1,3,6,2,2,7,9,1,7,1,5,11,10,18,16,15,8,7,12,23,1,14,13,15,19
8,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
9,1,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
10,1,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
11,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
12,1,4,5,5,0,2,3,0,0,3,11,11,11,10,18,16,15,8,1,8,23,1,14,16,15,19
13,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,21,10,11,9,8,8,1,4
14,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,21,10,11,9,8,8,1,4
15,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,21,10,11,9,8,8,1,4
16,3,1,2,1,2,4,6,10,11,7,1,2,11,9,18,16,15,20,7,10,23,1,8,8,15,19
17,3,1,3,6,7,9,7,9,1,7,1,5,11,6,18,16,15,8,7,12,23,1,8,8,15,19
18,3,1,3,6,7,9,7,9,1,8,1,5,11,6,18,16,15,8,7,12,23,1,8,13,15,19
19,3,1,3,6,7,9,7,9,1,11,1,6,11,13,18,16,15,8,7,12,23,1,14,13,15,19
20,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
21,3,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
22,1,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
23,1,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
24,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
25,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
26,1,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
27,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
28,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
29,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
30,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
31,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
32,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
33,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
34,2,5,4,2,3,2,3,6,10,2,1,10,11,10,18,16,15,8,7,12,23,1,14,13,15,19
35,3,1,2,1,8,4,4,2,11,7,1,2,11,4,18,16,15,8,7,10,23,1,8,8,15,19
36,3,1,2,1,8,3,4,2,5,7,1,2,11,4,18,16,15,8,7,12,23,1,8,13,15,19
37,3,1,6,1,8,3,6,2,5,7,1,2,11,4,18,16,15,8,7,10,23,1,8,8,15,19
38,0,2,6,4,8,3,4,2,5,8,1,3,11,4,18,16,15,8,7,12,23,1,8,8,15,19
39,0,2,6,4,8,3,4,2,5,8,1,3,11,4,18,16,15,8,7,12,23,1,8,13,15,19
40,1,4,5,5,0,2,3,0,0,3,1,11,11,17,18,16,15,8,7,12,23,1,14,13,15,19
41,3,1,2,5,2,2,3,0,11,7,1,2,11,10,18,16,15,8,7,12,23,1,14,13,15,19
42,3,1,2,1,2,4,6,10,11,7,1,2,11,9,18,16,15,8,7,12,23,1,14,13,15,19
43,3,1,2,1,8,4,6,10,11,7,1,2,11,9,18,16,15,8,21,10,23,1,8,8,1,19
44,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,21,10,11,9,8,8,1,4
