k,var_explained,sizes,frac_dominant,frac_no_majority,median_top_weight
5,0.38393604300110207,332 284 254 463 360,0.4217365623154164,0.5782634376845835,0.46820638030831285
6,0.39326484241807047,205 288 312 231 181 476,0.325457767277023,0.674542232722977,0.42766088360477106
7,0.397949966632672,228 160 229 273 171 438 194,0.2829297105729474,0.7170702894270525,0.39885788075440154
8,0.41529972784624347,177 162 278 219 154 174 341 188,0.2297696396928529,0.7702303603071471,0.38738967757468
9,0.4077739335812127,149 268 170 127 207 179 335 169 89,0.2049616066154755,0.7950383933845245,0.3760349313925516
10,0.40682380485392966,194 176 141 149 89 125 165 209 162 283,0.1553455404607206,0.8446544595392794,0.36062773909963075
11,0.384047901410537,294 81 107 161 203 112 141 109 193 133 159,0.14648552864737152,0.8535144713526285,0.35220865150437397
12,0.36619543599734916,140 144 199 146 194 111 150 78 57 103 140 231,0.12226816302421736,0.8777318369757826,0.3471994231752821
13,0.33825495454955246,179 132 143 188 228 126 76 106 149 55 85 123 103,0.11754282339043119,0.8824571766095688,0.3417585136302261
14,0.30781400389730573,176 132 141 159 214 100 75 109 151 48 79 91 101 117,0.11754282339043119,0.8824571766095688,0.33260384297349294
15,0.2741537311267661,131 158 81 57 73 106 176 116 122 136 51 104 151 125 106,0.12640283520378026,0.8735971647962197,0.3310175145703963
16,0.22630373047067787,75 98 131 177 145 49 104 65 114 113 108 118 74 82 135 105,0.13349084465445954,0.8665091553455405,0.3336954499581384
17,0.1995416607791074,48 133 84 192 71 129 86 127 93 75 101 115 88 60 98 118 75,0.11222681630242173,0.8877731836975783,0.32397433414536747
18,0.13477364119374968,109 150 73 161 110 85 104 59 54 105 124 47 117 116 70 55 89 65,0.12522150029533372,0.8747784997046663,0.3201135756115598
19,0.07593996212039056,74 151 88 69 50 128 89 75 80 93 109 129 86 108 122 68 67 45 62,0.12167749556999409,0.8783225044300059,0.32413633170274436
20,0.020968085515218116,48 96 64 75 132 119 105 81 66 68 84 62 72 109 107 86 76 122 72 49,0.12049616066154754,0.8795038393384524,0.3171081330501145
21,-0.02776061493051718,103 85 109 64 104 126 44 96 44 49 50 65 59 113 76 69 114 80 100 67 76,0.132309509746013,0.867690490253987,0.32309747955949075
22,-0.11507632876407259,80 104 120 89 61 101 112 64 76 75 68 84 53 63 55 103 44 102 42 75 74 48,0.13290017720023628,0.8670998227997637,0.32043448991741713
23,-0.19166030429922887,45 101 98 109 68 31 70 93 57 102 53 88 86 67 62 72 97 46 61 74 78 59 76,0.12226816302421736,0.8777318369757826,0.3065266079552919
24,-0.20675915821151336,119 40 48 96 79 70 64 66 62 80 68 95 66 54 48 55 77 70 82 55 85 97 86 31,0.11399881866509155,0.8860011813349085,0.3187325314009098
25,-0.32962964895693525,56 86 82 65 56 43 86 63 60 92 73 79 60 71 85 71 70 47 75 55 60 67 90 46 55,0.14057885410513882,0.8594211458948612,0.31488503927261163
26,-0.37390074863606926,44 53 73 83 87 72 28 65 96 60 70 52 107 82 64 47 76 55 42 58 58 68 90 47 69 47,0.13171884229178973,0.8682811577082102,0.3136194746246699
27,-0.4041368711519635,35 70 62 71 91 107 63 62 47 81 42 70 103 91 79 51 14 50 64 62 37 68 41 66 86 24 56,0.11636148848198465,0.8836385115180153,0.2968484385203155
28,-0.559912226504085,40 78 44 77 63 107 75 30 37 71 93 66 83 79 35 46 44 78 43 59 52 59 55 39 62 50 62 66,0.13171884229178973,0.8682811577082102,0.3175889014227198
29,-0.6936131557601888,47 42 101 72 97 62 36 58 89 54 50 51 97 57 80 46 41 57 32 13 69 60 66 64 49 84 75 4 40,0.125812167749557,0.874187832250443,0.32236711234626575
30,-0.6950928250513284,41 42 59 90 63 81 121 38 75 44 47 49 56 71 70 48 54 59 49 41 12 50 35 61 82 58 55 51 39 52,0.12344949793266391,0.8765505020673361,0.31512430591686275
