component,n,bootstrap_J,pass_bootstrap,init_J,pass_init,patient_max,pass_patient,interpret
0,288,0.372,False,0.669,False,0.188,True,False
1,50,0.596,False,0.996,True,0.84,False,False
2,99,0.39,False,0.734,False,0.303,True,False
3,299,0.331,False,0.53,False,0.211,True,False
4,48,0.476,False,0.849,True,0.167,True,False
5,222,0.381,False,0.643,False,0.239,True,False
6,13,0.289,False,0.7,False,0.692,False,False
7,73,0.47,False,0.901,True,0.425,True,False
8,161,0.373,False,0.684,False,0.23,True,False
9,13,0.283,False,0.669,False,0.462,True,False
