,B_rank1_c15,B_rank2_c13,B_rank3_c8,B_rank4_c16,B_rank5_c10,B_rank6_c4,B_rank7_c9,B_rank8_c7,B_rank9_c0,B_rank10_c17,B_rank11_c19,B_rank12_c2,B_rank13_c5,B_rank14_c12,B_rank15_c1,B_rank16_c6,B_rank17_c11,B_rank18_c14,B_rank19_c18,B_rank20_c3
A_rank1_c17,2,7,5,5,1,2,18,1,7,6,1,6,2,1,4,3,3,1,3,0
A_rank2_c12,6,4,3,3,11,8,0,5,1,2,10,11,8,6,8,0,6,9,19,10
A_rank3_c13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0
A_rank4_c5,5,4,5,9,11,9,0,5,2,1,9,6,15,9,9,1,4,7,1,9
A_rank5_c18,6,6,4,3,4,3,11,7,7,8,6,7,5,1,7,10,6,3,4,2
A_rank6_c7,10,5,6,3,6,5,0,9,9,6,5,7,9,4,3,4,10,5,4,15
A_rank7_c16,4,3,0,3,3,3,2,2,3,0,6,4,10,5,1,2,2,4,2,7
A_rank8_c3,5,6,8,8,6,10,2,6,6,3,8,10,9,4,20,3,5,4,4,3
A_rank9_c10,0,0,0,3,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0
A_rank10_c14,3,3,8,2,0,1,3,2,2,2,2,4,2,1,2,3,1,5,1,2
A_rank11_c19,5,6,1,3,8,2,0,4,0,0,6,8,2,2,7,1,4,4,8,1
A_rank12_c15,3,1,3,5,4,4,4,1,6,6,3,4,3,2,2,4,0,1,0,1
A_rank13_c6,7,11,11,3,6,2,6,10,5,5,3,6,1,1,1,1,2,2,2,2
A_rank14_c9,4,2,4,10,11,28,0,4,1,3,15,16,13,12,17,2,8,15,11,13
A_rank15_c8,2,2,0,2,1,7,5,1,3,3,3,7,1,4,9,4,5,3,9,5
A_rank16_c1,3,5,5,4,3,2,5,4,6,3,6,3,6,3,2,8,2,3,4,1
A_rank17_c4,9,6,12,1,1,1,12,15,11,7,3,3,1,3,2,6,10,1,4,0
A_rank18_c2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0
A_rank19_c11,3,5,5,0,0,0,3,1,6,2,1,2,0,0,0,4,3,0,0,1
