,B_rank1_c1,B_rank2_c5,B_rank3_c13,B_rank4_c11,B_rank5_c9,B_rank6_c0,B_rank7_c6,B_rank8_c7,B_rank9_c8,B_rank10_c15,B_rank11_c12,B_rank12_c2,B_rank13_c10
A_rank1_c9,0,1,216,1,12,0,25,2,5,62,39,0,0
A_rank2_c7,0,0,3,0,1,156,0,0,0,0,0,1,0
A_rank3_c5,65,8,0,0,1,1,2,0,0,0,0,0,0
A_rank4_c8,7,126,13,0,10,0,143,0,15,2,39,3,0
A_rank5_c2,0,9,1,7,171,0,8,0,3,2,134,0,21
A_rank6_c3,0,0,0,0,20,45,1,0,0,0,0,5,0
A_rank7_c6,0,21,2,0,7,0,14,0,5,6,142,0,6
A_rank8_c0,0,21,0,0,0,0,2,24,100,32,1,13,0
A_rank9_c4,0,1,2,81,20,0,0,0,0,0,0,2,7
A_rank10_c1,0,17,0,2,20,5,21,0,5,26,9,95,0
