k,fold,held_out_err,var_explained
2,0,0.7124703876201194,0.2875296123798806
2,1,0.7099876007163586,0.2900123992836414
2,2,0.7120033054352269,0.28799669456477306
2,3,0.722104599204265,0.27789540079573505
2,4,0.7290830629812698,0.2709169370187302
3,0,0.6331932192294994,0.36680678077050055
3,1,0.6188432558454272,0.3811567441545728
3,2,0.6270965375615214,0.3729034624384786
3,3,0.6119931900741206,0.38800680992587944
3,4,0.6353354588393342,0.3646645411606658
4,0,0.5931396189828675,0.4068603810171325
4,1,0.5851047606191804,0.4148952393808196
4,2,0.5951520907856398,0.4048479092143602
4,3,0.577714345722171,0.42228565427782905
4,4,0.6031878288516607,0.39681217114833933
5,0,0.5536776259767546,0.44632237402324537
5,1,0.5442849063773165,0.4557150936226835
5,2,0.5565844011923191,0.4434155988076809
5,3,0.5398392677897541,0.4601607322102459
5,4,0.5712893906529039,0.42871060934709615
6,0,0.518579667780526,0.481420332219474
6,1,0.5119706161600427,0.4880293838399573
6,2,0.5214189534795032,0.4785810465204968
6,3,0.5120978930654163,0.4879021069345837
6,4,0.5391722701349607,0.4608277298650393
8,0,0.46743439325415564,0.5325656067458444
8,1,0.46238017475793136,0.5376198252420686
8,2,0.4762968294360244,0.5237031705639756
8,3,0.46428179868363595,0.535718201316364
8,4,0.48351753153811894,0.5164824684618811
10,0,0.43699958008221657,0.5630004199177834
10,1,0.4282364811458269,0.5717635188541731
10,2,0.4373268027519269,0.5626731972480731
10,3,0.4218245946956327,0.5781754053043673
10,4,0.4393570696912947,0.5606429303087053
12,0,0.4170742647493463,0.5829257352506537
12,1,0.4010606776917388,0.5989393223082612
12,2,0.41322435593666884,0.5867756440633312
12,3,0.3965019688955477,0.6034980311044523
12,4,0.4147572895076639,0.5852427104923361
14,0,0.3865465809271888,0.6134534190728111
14,1,0.3785797071637268,0.6214202928362732
14,2,0.3941616412290231,0.6058383587709769
14,3,0.3789351810981293,0.6210648189018707
14,4,0.397526735768692,0.602473264231308
16,0,0.37369767675870597,0.6263023232412941
16,1,0.3658432082459026,0.6341567917540973
16,2,0.37919670434633485,0.6208032956536651
16,3,0.3708424219906822,0.6291575780093178
16,4,0.38026469351915426,0.6197353064808457
18,0,0.359848129261217,0.640151870738783
18,1,0.359176496403521,0.640823503596479
18,2,0.361414720558159,0.638585279441841
18,3,0.35544472436993524,0.6445552756300648
18,4,0.3710287598508534,0.6289712401491466
19,0,0.35333407765381797,0.646665922346182
19,1,0.3417301837044593,0.6582698162955407
19,2,0.3576530906316874,0.6423469093683126
19,3,0.3482626236068645,0.6517373763931356
19,4,0.3628347095800254,0.6371652904199746
20,0,0.3472217439696771,0.6527782560303229
20,1,0.3357004999729585,0.6642995000270415
20,2,0.3544248753019651,0.6455751246980349
20,3,0.34049366226422456,0.6595063377357755
20,4,0.36149361055239776,0.6385063894476022
21,0,0.3446241865201922,0.6553758134798078
21,1,0.33455829622494104,0.665441703775059
21,2,0.34774421098212394,0.6522557890178761
21,3,0.3410140425523121,0.658985957447688
21,4,0.35631347150659315,0.6436865284934068
22,0,0.33366459548504673,0.6663354045149532
22,1,0.32859532588243184,0.6714046741175681
22,2,0.341218925514146,0.658781074485854
22,3,0.33124541513608025,0.6687545848639198
22,4,0.34303826293549367,0.6569617370645063
23,0,0.33063063188550856,0.6693693681144914
23,1,0.3244525017307077,0.6755474982692923
23,2,0.33249448035184437,0.6675055196481556
23,3,0.3340618950909345,0.6659381049090656
23,4,0.3419853453878199,0.6580146546121801
