k,replication,sd,n_rep
2,0.7181467217010531,0.09781563697765837,6
3,0.6223887788884367,0.11394969721923116,6
4,0.6527695959079381,0.05137029427755563,6
5,0.6523471729755063,0.04145761695053897,6
6,0.6825471598012401,0.0311700220134101,6
7,0.7262466816298577,0.025373473934855412,6
8,0.6680218460139948,0.016586940920084656,6
9,0.668941917531613,0.03411202637337222,6
10,0.649874890078573,0.020762952649157694,6
12,0.65609377875159,0.03595937241196913,6
14,0.6353165205164915,0.01498111035620155,6
16,0.6105395856450744,0.03370363525480049,6
