k,fold,held_out_err,var_explained
2,0,0.7135024086152781,0.28649759138472186
2,1,0.689950021609545,0.310049978390455
2,2,0.6953585812512477,0.3046414187487523
2,3,0.7023119971453508,0.29768800285464925
2,4,0.69755911465104,0.30244088534895996
3,0,0.6486155580263846,0.3513844419736154
3,1,0.6353493099727491,0.3646506900272509
3,2,0.6317986222991561,0.36820137770084393
3,3,0.6411988355335819,0.3588011644664181
3,4,0.6312166659749137,0.36878333402508634
4,0,0.6052762798801318,0.3947237201198682
4,1,0.5912726100171801,0.4087273899828199
4,2,0.5901324817692339,0.40986751823076606
4,3,0.5990380069343331,0.40096199306566693
4,4,0.5914517282809039,0.40854827171909613
5,0,0.5754766843697124,0.42452331563028756
5,1,0.5586970721978282,0.44130292780217184
5,2,0.5571252827949288,0.4428747172050712
5,3,0.563682781661191,0.436317218338809
5,4,0.5610007275710738,0.4389992724289262
6,0,0.5565678216230747,0.4434321783769253
6,1,0.5422277289970339,0.45777227100296614
6,2,0.545830572280863,0.45416942771913704
6,3,0.5505386001618586,0.4494613998381414
6,4,0.5462102852556421,0.4537897147443579
8,0,0.5365377799400454,0.46346222005995463
8,1,0.5180910600295383,0.4819089399704617
8,2,0.507478914924807,0.492521085075193
8,3,0.5116830690632248,0.4883169309367752
8,4,0.521269276021578,0.478730723978422
10,0,0.5042323021977182,0.4957676978022818
10,1,0.4898179928554554,0.5101820071445446
10,2,0.48545693933825373,0.5145430606617463
10,3,0.4883179566318669,0.511682043368133
10,4,0.4964892184268092,0.5035107815731907
12,0,0.4872112853393833,0.5127887146606167
12,1,0.4739009707996665,0.5260990292003336
12,2,0.47305954839068676,0.5269404516093132
12,3,0.4632669562798586,0.5367330437201414
12,4,0.476576840141427,0.523423159858573
14,0,0.47147529948311956,0.5285247005168805
14,1,0.45692066696512634,0.5430793330348737
14,2,0.4531266567683454,0.5468733432316546
14,3,0.44809890136208724,0.5519010986379127
14,4,0.45921509480637696,0.5407849051936231
16,0,0.45563859887156394,0.5443614011284361
16,1,0.446208628393872,0.553791371606128
16,2,0.43767286812196216,0.5623271318780378
16,3,0.43770051748198247,0.5622994825180175
16,4,0.44935090946603035,0.5506490905339696
18,0,0.4499954615741865,0.5500045384258134
18,1,0.4358034175320109,0.5641965824679891
18,2,0.4294230222228527,0.5705769777771472
18,3,0.4306334269998344,0.5693665730001656
18,4,0.4451400762179817,0.5548599237820183
19,0,0.445131926548874,0.554868073451126
19,1,0.43265013595150414,0.5673498640484959
19,2,0.4258347368592457,0.5741652631407543
19,3,0.4289447604349091,0.571055239565091
19,4,0.43884651427812715,0.5611534857218728
20,0,0.43970981503286566,0.5602901849671343
20,1,0.4325868451663638,0.5674131548336362
20,2,0.42473915696711395,0.575260843032886
20,3,0.42447300202812194,0.575526997971878
20,4,0.43313909839983816,0.5668609016001618
21,0,0.4361336570602729,0.563866342939727
21,1,0.42687952819427427,0.5731204718057257
21,2,0.42136079101010443,0.5786392089898955
21,3,0.4205677006277312,0.5794322993722688
21,4,0.4293025048936271,0.5706974951063729
22,0,0.43331162454023625,0.5666883754597638
22,1,0.4220356156218085,0.5779643843781914
22,2,0.4199292540276572,0.5800707459723429
22,3,0.4183476379315063,0.5816523620684937
22,4,0.4246060068797941,0.5753939931202059
23,0,0.4324550013288815,0.5675449986711185
23,1,0.42041596651190943,0.5795840334880906
23,2,0.4147004289941952,0.5852995710058049
23,3,0.41446016033721167,0.5855398396627883
23,4,0.423904867542141,0.5760951324578589
