k,fold,held_out_err,var_explained
2,0,0.7361854738496356,0.2638145261503644
2,1,0.7336670779513759,0.26633292204862413
2,2,0.7338017159603496,0.2661982840396504
2,3,0.7321588559360618,0.2678411440639382
2,4,0.7537496399094115,0.24625036009058854
3,0,0.6615769443469931,0.3384230556530069
3,1,0.6660847689884157,0.33391523101158427
3,2,0.6752595055241851,0.3247404944758149
3,3,0.6693287473777669,0.33067125262223307
3,4,0.7030664576675758,0.2969335423324242
4,0,0.6202618894569853,0.37973811054301465
4,1,0.6116385828074724,0.3883614171925276
4,2,0.6321488007125746,0.3678511992874254
4,3,0.6262445161128215,0.3737554838871785
4,4,0.6554608110129136,0.34453918898708635
5,0,0.5891614204636874,0.41083857953631264
5,1,0.5793650876404199,0.42063491235958006
5,2,0.6009517843769006,0.39904821562309944
5,3,0.593312094446906,0.406687905553094
5,4,0.6213283269521892,0.3786716730478108
6,0,0.5679309710317696,0.4320690289682304
6,1,0.5597986395335751,0.4402013604664249
6,2,0.5792482092718171,0.4207517907281829
6,3,0.5698878717024454,0.43011212829755463
6,4,0.5976105489479616,0.4023894510520384
8,0,0.5334686485837237,0.46653135141627633
8,1,0.5210767432362458,0.47892325676375425
8,2,0.535845747320291,0.464154252679709
8,3,0.5341365370643696,0.4658634629356304
8,4,0.5559946848790177,0.4440053151209823
10,0,0.5029656344770074,0.4970343655229926
10,1,0.49872146303504844,0.5012785369649515
10,2,0.509971380560407,0.49002861943959297
10,3,0.5062410826831322,0.49375891731686783
10,4,0.5247094030353862,0.47529059696461384
12,0,0.47429910111855555,0.5257008988814444
12,1,0.47675302434880207,0.5232469756511979
12,2,0.48131023362251996,0.5186897663774801
12,3,0.48056702524069034,0.5194329747593096
12,4,0.5017565199369419,0.4982434800630581
14,0,0.4576576863101556,0.5423423136898444
14,1,0.45058711966790127,0.5494128803320988
14,2,0.47436678131843507,0.5256332186815649
14,3,0.4641438222155959,0.5358561777844041
14,4,0.48513802357250907,0.5148619764274909
16,0,0.4369472044739872,0.5630527955260127
16,1,0.4301197633415267,0.5698802366584733
16,2,0.45796932188004613,0.5420306781199539
16,3,0.44893211008379214,0.5510678899162078
16,4,0.46145711140546875,0.5385428885945313
18,0,0.4269920388007737,0.5730079611992263
18,1,0.41497961081805373,0.5850203891819463
18,2,0.43491520768085395,0.565084792319146
18,3,0.4251665506284241,0.5748334493715759
18,4,0.4533416801455405,0.5466583198544595
19,0,0.42105068702648457,0.5789493129735155
19,1,0.4118745041143455,0.5881254958856545
19,2,0.4306298664673135,0.5693701335326865
19,3,0.4254299402859068,0.5745700597140933
19,4,0.44258474609397236,0.5574152539060276
20,0,0.41300374442993887,0.5869962555700612
20,1,0.4035624420434045,0.5964375579565955
20,2,0.43384317893672203,0.5661568210632779
20,3,0.42120151340261974,0.5787984865973803
20,4,0.42843521205129653,0.5715647879487035
21,0,0.40929558170342895,0.590704418296571
21,1,0.3970516295625378,0.6029483704374622
21,2,0.4190012075369969,0.5809987924630031
21,3,0.40653619735049346,0.5934638026495065
21,4,0.430051156438533,0.569948843561467
22,0,0.4046196868029801,0.5953803131970199
22,1,0.39625225354924226,0.6037477464507577
22,2,0.41210178086708105,0.587898219132919
22,3,0.398233006666053,0.601766993333947
22,4,0.4285259187129902,0.5714740812870098
23,0,0.39532079054877106,0.604679209451229
23,1,0.39467272611507265,0.6053272738849274
23,2,0.4063318907922273,0.5936681092077727
23,3,0.3974529318059894,0.6025470681940106
23,4,0.422497157186238,0.5775028428137621
