k,replication,sd,n_rep
2,0.7925354433079418,0.07090093174932524,6
3,0.7284673044037393,0.06254904076779969,6
4,0.6944430855991731,0.055510709665954394,6
5,0.5987305960412163,0.050973520729184464,6
6,0.598704837949231,0.024943861304568667,6
7,0.5687887005086946,0.031122013563227115,6
8,0.588552030168723,0.013079387308810244,6
9,0.6004738292708068,0.024799227725057587,6
10,0.5563052818456226,0.01387379350035648,6
12,0.5565767093197554,0.028303635852604057,6
14,0.5409007487806514,0.01722323932320942,6
16,0.5484799243407323,0.02904861409862864,6
