cluster_id,size,jaccard_stability,n_runs
0,7,0.9033964276313782,50
1,43,0.37922006845474243,50
2,107,0.27863577008247375,50
3,99,0.2769522964954376,50
4,76,0.541252851486206,50
5,111,0.39229094982147217,50
6,175,0.22989296913146973,50
7,31,0.5577208399772644,50
8,65,0.3749994933605194,50
9,72,0.5820183157920837,50
10,68,0.20178678631782532,50
11,85,0.333021879196167,50
12,76,0.499666690826416,50
13,63,0.3353952169418335,50
14,146,0.26262715458869934,50
15,92,0.31055861711502075,50
16,96,0.34026607871055603,50
17,126,0.20326684415340424,50
