cluster_id,n_total,n_unknown,entropy_bits,purity,top_region,top_proportion,top_3_json
0,7,5,1.0,0.5,lateralorbitofrontal,0.5,"[[""lateralorbitofrontal"", 0.5], [""superiortemporal"", 0.5]]"
1,43,25,3.086048612313038,0.2222222222222222,middletemporal,0.222,"[[""middletemporal"", 0.222], [""parsopercularis"", 0.167], [""supramarginal"", 0.167]]"
2,107,63,3.871379278161679,0.13636363636363635,postcentral,0.136,"[[""postcentral"", 0.136], [""middletemporal"", 0.114], [""insula"", 0.091]]"
3,99,56,3.540367454009055,0.23255813953488372,middletemporal,0.233,"[[""middletemporal"", 0.233], [""postcentral"", 0.116], [""inferiortemporal"", 0.093]]"
4,76,38,3.7679582777191767,0.15789473684210525,inferiortemporal,0.158,"[[""inferiortemporal"", 0.158], [""postcentral"", 0.132], [""middletemporal"", 0.132]]"
5,111,63,3.709628908408583,0.16666666666666666,inferiortemporal,0.167,"[[""inferiortemporal"", 0.167], [""middletemporal"", 0.146], [""insula"", 0.104]]"
6,175,107,3.735283843854741,0.14705882352941177,middletemporal,0.147,"[[""middletemporal"", 0.147], [""inferiortemporal"", 0.118], [""insula"", 0.103]]"
7,31,20,3.277613436819116,0.18181818181818182,insula,0.182,"[[""insula"", 0.182], [""superiorfrontal"", 0.091], [""lateraloccipital"", 0.091]]"
8,65,42,3.203365087509175,0.21739130434782608,middletemporal,0.217,"[[""middletemporal"", 0.217], [""superiortemporal"", 0.174], [""lateraloccipital"", 0.13]]"
9,72,41,3.563247423975141,0.16129032258064516,precentral,0.161,"[[""precentral"", 0.161], [""superiortemporal"", 0.129], [""middletemporal"", 0.129]]"
10,68,40,3.8248629576173565,0.14285714285714285,precentral,0.143,"[[""precentral"", 0.143], [""middletemporal"", 0.107], [""inferiortemporal"", 0.107]]"
11,85,50,3.474535960919433,0.2,postcentral,0.2,"[[""postcentral"", 0.2], [""inferiortemporal"", 0.171], [""insula"", 0.114]]"
12,76,40,3.617861029749889,0.1388888888888889,supramarginal,0.139,"[[""supramarginal"", 0.139], [""posteriorcingulate"", 0.111], [""rostralmiddlefrontal"", 0.111]]"
13,63,34,3.271221945782624,0.2413793103448276,middletemporal,0.241,"[[""middletemporal"", 0.241], [""inferiortemporal"", 0.172], [""insula"", 0.138]]"
14,146,56,4.082202247160472,0.12222222222222222,precentral,0.122,"[[""precentral"", 0.122], [""insula"", 0.122], [""postcentral"", 0.078]]"
15,92,50,4.218883791465801,0.14285714285714285,middletemporal,0.143,"[[""middletemporal"", 0.143], [""lateralorbitofrontal"", 0.071], [""lateraloccipital"", 0.071]]"
16,96,38,3.6037556781585374,0.1724137931034483,insula,0.172,"[[""insula"", 0.172], [""inferiortemporal"", 0.138], [""middletemporal"", 0.138]]"
17,126,64,3.93000347350998,0.12903225806451613,middletemporal,0.129,"[[""middletemporal"", 0.129], [""postcentral"", 0.113], [""bankssts"", 0.097]]"
