sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
1,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
2,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
3,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
4,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
5,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
6,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
7,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
8,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
9,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
10,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
11,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
12,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
13,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,27,28
14,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,27,28
15,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,27,28
16,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,27,28
17,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,27,28
18,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,27,28
19,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
20,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
21,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23
