sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,3,3,3,4,5,6,7,8,9,9,10,10,11,12,12,13,13
1,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
2,2,2,2,2,3,3,3,4,4,4,5,5,6,7,7,7,7
3,2,2,2,2,3,3,3,4,4,4,5,5,6,7,7,7,7
4,3,3,3,4,5,6,7,8,9,10,11,11,12,13,13,14,15
5,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
6,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
7,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
8,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
9,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
10,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
11,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
12,3,3,3,3,4,5,6,7,7,7,8,8,9,10,10,10,10
13,3,3,3,3,4,5,6,7,7,7,8,8,9,10,10,11,11
14,3,3,3,3,4,5,6,7,7,7,8,8,9,10,10,11,11
15,3,3,3,3,4,5,6,7,7,7,8,8,9,10,10,11,11
16,3,3,3,3,4,5,6,7,7,7,8,8,9,10,10,11,11
17,3,3,3,3,4,5,6,7,7,7,8,8,9,10,10,11,11
18,3,3,3,3,4,5,6,7,7,7,8,8,9,10,10,11,11
19,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
20,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
21,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
22,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
23,2,2,2,2,3,3,3,4,4,4,5,5,6,7,7,7,7
24,2,2,2,2,3,3,3,4,4,4,5,5,6,7,7,7,7
25,2,2,2,2,3,3,3,4,4,4,5,5,6,7,7,7,7
26,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
27,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
28,2,2,2,2,3,4,5,6,6,6,7,7,8,9,9,9,9
