sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
0,1,2,2,3,3,4,5,5,6,6,6,7,8,9,9,10,11,11,11,12
1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2,3,4,5,6,6,7,8,8,9,9,10,11,12,13,14,15,16,17,18,19
3,3,4,5,6,6,7,8,8,9,9,10,11,12,13,14,15,16,17,18,19
4,1,1,1,2,2,2,3,3,3,3,3,4,5,5,5,5,5,5,5,6
5,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
6,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
7,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
8,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
10,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
11,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
12,1,1,1,2,2,2,3,3,3,3,3,4,5,5,5,5,6,6,6,7
13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
19,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
20,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
21,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
22,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
23,3,4,5,6,6,7,8,8,9,9,10,11,12,13,14,15,16,17,18,19
24,3,4,5,6,6,7,8,8,9,9,10,11,12,13,14,15,16,17,18,19
25,3,4,5,6,6,7,8,8,9,9,10,11,12,13,14,15,16,17,18,19
26,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
27,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
28,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
29,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
30,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
31,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
32,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
33,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
34,1,1,1,2,2,2,3,3,4,4,4,5,6,7,7,7,8,8,8,9
35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
40,1,1,1,2,2,2,3,3,4,4,4,5,6,7,7,7,8,8,8,9
41,1,1,1,2,2,2,3,3,4,4,4,5,6,7,7,7,8,8,8,9
42,1,1,1,2,2,2,3,3,4,4,4,5,6,7,7,7,8,8,8,9
43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
48,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
49,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
50,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
