k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
4,0.1333715319633484,144.51010484017567,1.9763713059353671,4,0,50,664,0.717036882310424
5,0.11878146231174469,127.89837255448809,2.00686685249505,5,0,50,580,0.767268507493912
6,0.1259879469871521,119.32377785030685,1.9662390321354624,6,0,50,580,0.874344432317183
7,0.11505655199289322,112.81290192124133,1.984375333381863,7,0,45,580,0.9984214709932786
8,0.10893642157316208,105.24910453829256,1.986765917805879,8,0,38,580,1.0904903283058354
9,0.10858199745416641,99.39757133727687,1.9160741644937747,9,0,6,580,1.2072942284351043
10,0.11115661263465881,95.01726084698258,1.772626657669628,10,0,3,580,1.3149331590354967
11,0.11045552790164948,91.65472285899904,1.7701695026415578,11,0,3,580,1.365355785743659
12,0.06662702560424805,88.66968980789379,1.9907587886261549,12,0,3,344,0.9533687110732844
13,0.06485903263092041,85.32165260802148,2.05042627553166,13,0,3,344,0.9578177034737907
14,0.06936576962471008,82.11413985553722,2.0272754350204,14,0,3,344,1.0198448196890617
15,0.07238508015871048,79.44783256228486,1.9371431106801402,15,0,3,344,1.0857012057220379
16,0.07814504206180573,77.14432562651378,1.9828854820129127,16,0,3,344,1.1022634389624903
17,0.07495128363370895,75.16311717442866,2.0288405378917567,17,0,3,344,1.102243061331134
18,0.07637538015842438,73.49064358743786,2.004085477212525,18,0,3,344,1.1502146075620667
19,0.07709844410419464,72.08212399453502,1.9054041589955375,19,1,1,344,1.2049607047776079
20,0.07028082758188248,70.77402241687052,1.970856022942795,20,1,1,204,0.9278171668021887
21,0.07284358888864517,69.50006737272808,1.9589410153637468,21,1,1,204,0.9683045545611485
22,0.07581036537885666,68.22839710068263,1.8953134240266956,22,1,1,204,1.0134770637048058
23,0.07971065491437912,67.09235081834927,1.8761684005162735,23,1,1,204,1.025784469232484
