sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,1,1,2,3,3,3,3,3,4,4,4,4,5,5,6,7,7,7,7,7,7,8,8,9,9,9
1,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
2,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
3,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
4,1,1,2,3,3,3,3,3,4,4,4,4,5,5,6,7,7,7,7,7,7,8,8,9,9,9
5,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
6,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
7,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
8,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
9,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
10,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
11,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
12,2,3,4,5,5,6,7,7,8,9,10,11,12,13,14,15,15,15,16,17,18,19,19,20,21,21
13,2,2,3,4,4,4,5,5,6,6,6,7,8,8,9,10,10,10,10,10,11,12,12,13,13,13
14,2,2,3,4,4,4,5,5,6,6,6,7,8,8,9,10,10,10,10,10,11,12,12,13,13,13
15,2,2,3,4,4,4,5,5,6,6,6,7,8,8,9,10,10,10,10,10,11,12,12,13,13,13
16,2,2,3,4,4,4,5,5,6,6,6,7,8,8,9,10,10,10,10,10,11,12,12,13,13,13
17,2,2,3,4,4,4,5,5,6,6,6,7,8,8,9,10,10,10,10,10,11,12,12,13,13,13
18,2,2,3,4,4,4,5,5,6,6,6,7,8,8,9,10,10,10,10,10,11,12,12,13,13,13
19,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
20,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
21,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
22,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
23,4,5,6,7,7,8,9,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,25
