sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
0,2,2,3,4,5,6,6,6,7,7,7,7,8,9,9,10,11,11,11,11
1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
2,0,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
3,0,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
4,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,14,14,15
5,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
6,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
7,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
8,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
9,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
10,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
11,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
12,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
13,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
14,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
15,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
16,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
17,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
18,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
19,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
20,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
21,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
22,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
23,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
24,1,1,2,2,3,3,3,3,4,4,4,4,4,5,5,5,6,6,6,6
25,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
26,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
27,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
28,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
29,0,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
30,0,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
31,0,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
32,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
33,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
34,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
35,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
36,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
37,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
38,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
39,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
40,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
41,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
42,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
43,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
44,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
45,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
46,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
47,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
48,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
49,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
50,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
51,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
52,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
53,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
54,3,3,4,5,6,7,7,8,9,10,10,10,11,12,12,13,14,15,15,16
55,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
56,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
57,3,4,5,6,7,8,8,9,10,11,11,11,12,13,13,14,15,16,16,17
