k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
4,0.05113010108470917,87.60177781931739,2.864730109527457,4,0,160,470,0.4776976943838552
5,0.05155358463525772,77.07630841221794,2.9283778068301407,5,0,70,400,0.5348316144550327
6,0.0596182607114315,69.83490030848928,2.7504761287376245,6,0,49,351,0.5996409273248726
7,0.06798838824033737,65.04521734719502,2.55928760261045,7,0,32,351,0.7315245446923583
8,0.06828910112380981,61.24364495983312,2.645465483732628,8,0,32,270,0.659589826911423
9,0.07416180521249771,58.222335335725475,2.624916491008842,9,0,32,270,0.717370797786301
10,0.0785035640001297,55.2666128982614,2.4943379496271594,10,0,30,270,0.8133585640978921
11,0.06815430521965027,52.74430333002029,2.4719946462531315,11,0,30,267,0.7373738435280028
12,0.07486047595739365,50.712990029275794,2.393204753666993,12,0,30,267,0.8048270180690285
13,0.07652194797992706,48.75865252287551,2.403598137408996,13,0,30,267,0.8381638801124994
14,0.07906564325094223,47.17313056207261,2.3602789079476154,14,0,30,267,0.8839678016781507
15,0.08283428102731705,45.747855721716014,2.3777336106867586,15,0,30,209,0.7648436180402891
16,0.08373496681451797,44.527796090686834,2.4006771177425024,16,0,30,209,0.6654040493939033
17,0.0876399502158165,43.35053714752616,2.350421971329287,17,0,17,209,0.7121897999429334
18,0.09185544401407242,42.25400605040112,2.2804406131559265,18,0,17,209,0.7576006231288246
19,0.09577703475952148,41.28578456841638,2.2703892526910114,19,0,13,209,0.7930108098477738
20,0.09669741988182068,40.32491289006622,2.223762006410864,20,0,13,209,0.8321588971141749
