cluster_id,n_total,n_with_coords,n_missing,distance_mm,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,metric,mirror_to
0,81,29,52,53.245581087315614,-50.272348140848095,-22.927569319461956,-16.934565840096308,12.17664817420679,30.427577795401398,27.61045318808659,mean_pairwise,left
1,128,99,29,48.353611421825654,-43.32960862824411,-16.39560656776332,-4.657652442503458,15.642612908752529,19.077753531958194,30.068369826104504,mean_pairwise,left
2,426,234,192,56.41992859311523,-36.899889568997246,-7.371119714190817,3.6421104478211994,13.747907556781842,34.28773704566648,24.29108389301518,mean_pairwise,left
4,42,21,21,27.662430024340864,-32.74883756183443,-85.66074434916179,-6.5823824519202825,10.003112826274016,23.941648791615965,7.381639335017286,mean_pairwise,left
6,76,14,62,34.13986347833813,-53.989448819841655,-18.62129875591823,-5.187745468957083,10.592268486880755,10.125811559583155,22.335751304221056,mean_pairwise,left
8,138,62,76,39.81700079494291,-45.9802699704324,-15.554475314194157,17.143619345080467,11.36154379077355,18.735381817977323,24.326007499795992,mean_pairwise,left
9,475,196,279,54.478022636907575,-39.68254891220404,-3.667312179273945,4.872547422972869,13.570850366758133,31.37676050788476,25.061894189424308,mean_pairwise,left
10,464,252,212,52.20338921989815,-44.209653201084286,-14.85978582820722,0.807064613179555,15.520946818018093,24.504291830632543,28.306334318818177,mean_pairwise,left
11,184,102,82,54.86323759417416,-44.08750078374264,-12.029942390381121,5.165356562272007,17.868108823614655,23.370824750402026,29.854730113447776,mean_pairwise,left
12,88,14,74,47.465764959690915,-49.528458731515066,-5.974252947739193,-17.49365895135062,13.889764301285906,28.388572451261236,21.21684886979169,mean_pairwise,left
