sample_idx,patient_id,condition,task,electrode,file_path,prop_above_pos,prop_below_neg,high_activity,UMAP_1,UMAP_2,cluster_hierarchical_raw,silhouette,contact_name,patient,name,hemi,x,y,z,is_wm
0,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L10_TN.npy,0.0815503875968992,0.0117829457364341,True,0.6008392,1.8363351,0,-0.013193078,AL10,EL030,AL10,L,-54.41203689575195,-1.6914424896240234,-35.05707550048828,0.0
1,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L11_TN.npy,0.1003359173126615,0.0171834625322997,True,0.5913838,1.7849891,0,-0.0128102675,AL11,EL030,AL11,L,-56.04169845581055,-1.9374158382415767,-34.19023513793945,0.0
2,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L12_TN.npy,0.1161240310077519,0.0259948320413436,True,0.56519127,1.7300721,0,0.034514006,AL12,EL030,AL12,L,-59.7230339050293,-3.168854236602783,-30.53950881958008,0.0
3,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L13_TN.npy,0.1516020671834625,0.0556330749354005,True,0.60822743,1.7704334,0,0.058940746,AL13,EL030,AL13,L,-60.08465576171875,-3.803679943084717,-30.15506362915039,0.0
4,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L14_TN.npy,0.1555038759689922,0.0640310077519379,True,0.6317361,1.8047675,0,0.06211484,AL14,EL030,AL14,L,-60.08465576171875,-3.803679943084717,-30.15506362915039,0.0
5,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L15_TN.npy,0.1565374677002584,0.0564082687338501,True,0.6259659,1.7954345,0,0.054724634,AL15,EL030,AL15,L,-60.694427490234375,-3.3637280464172363,-29.1143741607666,0.0
6,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L2_TN.npy,0.0236175710594315,0.0034625322997416,True,0.55228347,2.0738237,0,-0.13776502,AL2,EL030,AL2,L,-25.317325592041016,-4.529516220092773,-21.213720321655277,0.0
7,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L3_TN.npy,0.0282687338501292,0.0031524547803617,True,0.44906387,2.1948693,0,-0.11115174,AL3,EL030,AL3,L,-26.15047645568848,-3.044088125228882,-21.01518821716309,0.0
8,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L4_TN.npy,0.0347286821705426,0.0039276485788113,True,0.50283927,2.1273546,0,-0.11516429,AL4,EL030,AL4,L,-32.91841506958008,3.3941473960876465,-22.62943649291992,0.0
9,EL030,audio,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L5_TN.npy,0.0340568475452196,0.0061757105943152,True,0.49588436,2.1320257,0,-0.1005207,AL5,EL030,AL5,L,-34.84610366821289,-11.320873260498049,-21.40219116210937,0.0
