sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,4,5,6,7,7,7,7,7,7,8,9
1,4,5,6,7,7,7,7,7,7,8,9
2,4,5,6,7,7,7,7,7,7,8,9
3,4,5,6,7,7,7,7,7,7,8,9
4,4,5,6,7,7,7,7,7,7,8,9
5,4,5,6,7,7,7,7,7,7,8,9
6,4,5,6,7,7,7,7,7,7,8,9
7,4,5,6,7,7,7,7,7,7,8,9
8,4,5,6,7,7,7,7,7,7,8,9
9,4,5,6,7,7,7,7,7,7,8,9
10,4,5,6,7,7,7,7,7,7,8,9
11,4,5,6,7,7,7,7,7,7,8,9
12,4,5,6,7,7,7,7,7,7,8,9
13,4,5,6,7,7,7,7,7,7,8,9
14,4,5,6,7,7,7,7,7,7,8,9
15,4,5,6,7,7,7,7,7,7,8,9
16,4,5,6,7,7,7,7,7,7,8,9
17,4,5,6,7,7,7,7,7,7,8,9
18,4,5,6,7,7,7,7,7,7,8,9
19,4,5,6,7,7,7,7,7,7,8,9
20,4,5,6,7,7,7,7,7,7,8,9
21,4,5,6,7,7,7,7,7,7,8,9
22,4,5,6,7,7,7,7,7,7,8,9
23,4,5,6,7,7,7,7,7,7,8,9
24,4,5,6,7,7,7,7,7,7,8,9
25,4,5,6,7,7,7,7,7,7,8,9
26,4,5,6,7,7,7,7,7,7,8,9
27,4,5,6,7,7,7,7,7,7,8,9
28,4,5,6,7,7,7,7,7,7,8,9
29,4,5,6,7,7,7,7,7,7,8,9
30,4,5,6,7,7,7,7,7,7,8,9
31,4,5,6,7,7,7,7,7,7,8,9
32,4,5,6,7,7,7,7,7,7,8,9
33,4,5,6,7,7,7,7,7,7,8,9
34,4,5,6,7,7,7,7,7,7,8,9
35,4,5,6,7,7,7,7,7,7,8,9
36,4,5,6,7,7,7,7,7,7,8,9
37,4,5,6,7,7,7,7,7,7,8,9
38,4,5,6,7,7,7,7,7,7,8,9
39,4,5,6,7,7,7,7,7,7,8,9
40,4,5,6,7,7,7,7,7,7,8,9
41,3,3,4,5,5,5,5,5,5,6,7
