cluster_id,n_total,n_unknown,entropy_bits,purity,top_region,top_proportion,top_3_json,p_entropy_lower_tail,null_entropy_mean
0,120,42,3.2635715300205432,0.2564102564102564,middletemporal,0.256,"[[""middletemporal"", 0.256], [""inferiortemporal"", 0.167], [""superiortemporal"", 0.154]]",0.0,4.0212218645409
1,53,37,2.5550365325772657,0.3125,inferiortemporal,0.312,"[[""inferiortemporal"", 0.312], [""fusiform"", 0.188], [""middletemporal"", 0.188]]",0.0,3.813619980431901
2,117,8,4.023391081658726,0.11926605504587157,middletemporal,0.119,"[[""middletemporal"", 0.119], [""inferiortemporal"", 0.101], [""postcentral"", 0.092]]",0.522,4.013776355138733
3,106,8,4.010659856867288,0.10204081632653061,postcentral,0.102,"[[""postcentral"", 0.102], [""supramarginal"", 0.102], [""middletemporal"", 0.102]]",0.514,4.003824675934895
4,28,28,,,unknown,1.0,"[[""unknown"", 1.0]]",,
5,26,24,1.0,0.5,superiortemporal,0.5,"[[""superiortemporal"", 0.5], [""middletemporal"", 0.5]]",0.0,3.4800320151275583
6,52,52,,,unknown,1.0,"[[""unknown"", 1.0]]",,
7,139,113,2.599317007252989,0.23076923076923078,bankssts,0.231,"[[""bankssts"", 0.231], [""middletemporal"", 0.231], [""superiortemporal"", 0.192]]",0.0,4.0440779574630925
8,24,24,,,unknown,1.0,"[[""unknown"", 1.0]]",,
9,111,100,2.2312702546075758,0.2727272727272727,middletemporal,0.273,"[[""middletemporal"", 0.273], [""postcentral"", 0.273], [""inferiortemporal"", 0.182]]",0.0,4.009834731850309
10,37,37,,,unknown,1.0,"[[""unknown"", 1.0]]",,
11,38,38,,,unknown,1.0,"[[""unknown"", 1.0]]",,
12,68,7,3.181564849900366,0.22950819672131148,rostralmiddlefrontal,0.23,"[[""rostralmiddlefrontal"", 0.23], [""lateralorbitofrontal"", 0.164], [""middletemporal"", 0.115]]",0.0,3.882997692608431
13,72,9,3.030381647984537,0.25396825396825395,middletemporal,0.254,"[[""middletemporal"", 0.254], [""parsopercularis"", 0.206], [""postcentral"", 0.143]]",0.0,3.905521686356583
14,436,235,3.6671506154109235,0.16417910447761194,insula,0.164,"[[""insula"", 0.164], [""postcentral"", 0.139], [""middletemporal"", 0.129]]",0.0,4.149319286926581
15,125,28,3.7925954116956975,0.21649484536082475,superiortemporal,0.216,"[[""superiortemporal"", 0.216], [""postcentral"", 0.144], [""supramarginal"", 0.082]]",0.026,4.021341850385785
16,343,244,3.33944642838873,0.24242424242424243,middletemporal,0.242,"[[""middletemporal"", 0.242], [""insula"", 0.182], [""inferiortemporal"", 0.121]]",0.0,4.131646543371684
17,3,3,,,unknown,1.0,"[[""unknown"", 1.0]]",,
18,196,107,3.5631665027177917,0.16853932584269662,rostralmiddlefrontal,0.169,"[[""rostralmiddlefrontal"", 0.169], [""lateraloccipital"", 0.157], [""lateralorbitofrontal"", 0.135]]",0.0,4.093491061566257
19,1,1,,,unknown,1.0,"[[""unknown"", 1.0]]",,
