cluster_id,size,jaccard_stability,n_runs
0,120,0.619770348072052,50
1,53,0.8113062381744385,50
2,117,0.9698379039764404,50
3,106,0.9928300976753235,50
4,28,0.49936509132385254,50
5,26,0.5849846005439758,50
6,52,0.5240724086761475,50
7,139,0.39618393778800964,50
8,24,0.9856522083282471,50
9,111,0.44400328397750854,50
10,37,1.0,50
11,38,0.8456044793128967,50
12,68,0.5777962803840637,50
13,72,0.6122222542762756,50
14,436,0.34464895725250244,50
15,125,0.357878714799881,50
16,343,0.49662357568740845,50
17,3,0.9733333587646484,50
18,196,0.3616389036178589,50
19,1,,50
