cluster_id,size,jaccard_stability,n_runs
0,75,0.4813787043094635,50
1,97,0.4385386109352112,50
2,104,0.4365902543067932,50
3,72,0.31025969982147217,50
4,87,0.4899245798587799,50
5,87,0.5006072521209717,50
6,63,0.4242793917655945,50
7,77,0.6364448070526123,50
8,80,0.41581591963768005,50
9,74,0.36724036931991577,50
10,76,0.55661940574646,50
11,73,0.5884577631950378,50
12,59,0.5581571459770203,50
13,77,0.6402424573898315,50
14,68,0.45872876048088074,50
15,77,0.597371518611908,50
16,69,0.508018434047699,50
17,58,0.3019447326660156,50
18,77,0.5127130150794983,50
19,88,0.47001221776008606,50
