sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
1,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
2,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
3,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
4,2,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
5,0,1,0,3,2,0,1,0,1,1,0,13,13,10,17,13,14,7,3,20,14,0,2,7,4,7
6,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
7,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
8,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
9,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
10,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
11,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
12,2,0,3,6,4,5,8,4,10,2,0,0,14,10,13,13,14,12,3,20,14,7,2,23,4,4
13,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
14,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
15,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
16,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
17,2,0,3,6,4,8,8,0,7,6,0,13,13,9,7,13,14,7,3,20,14,0,2,7,4,7
