k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
5,0.09984316170356351,146.30350769819017,2.7580592316931103,5,0,258,441,0.20977420394161606
6,0.09528145774703381,131.55157336693063,2.6119656101997086,6,0,172,391,0.2298333890373221
7,0.0999846462620367,121.10534500434942,2.590601356559587,7,0,161,297,0.21314668622637467
8,0.1032630798390123,112.4598238071694,2.4721008829026045,8,0,66,280,0.32075540876880276
9,0.10807686549890025,105.674865203177,2.45393999905788,9,0,66,272,0.3597791297646877
10,0.10723462037323951,98.59807481952889,2.559908418016767,10,0,65,239,0.3397376266317137
11,0.1142174238127443,94.06902980064899,2.399902579912959,11,0,49,267,0.4529112706465109
12,0.11062068458969868,89.00641907922373,2.3990900729175375,12,0,52,245,0.4119578113556831
13,0.11629554344696921,84.8707057462713,2.3631856551098984,13,0,49,225,0.4709831141091695
14,0.11301430800552484,81.59871053471115,2.3267447265970467,14,0,50,234,0.4184511401145272
15,0.11833177318400699,78.2274783762781,2.3165264531608214,15,0,51,219,0.45599415297802326
16,0.11801513633816756,75.56803913214618,2.3414929658318657,16,0,45,214,0.4656383030015516
17,0.11691798088977072,73.91902301706247,2.299297532327933,17,0,52,211,0.3689983220632537
18,0.10191887473953916,71.18792724469567,2.4271439123027228,18,0,46,147,0.32052774253859556
19,0.10828888275392635,69.24078963609657,2.33349576909429,19,0,48,164,0.35699604631560156
20,0.10407223591704638,67.14036400582135,2.4389240669602943,20,0,45,142,0.3105395763954977
21,0.11313774472304503,65.52787185804381,2.312867505019726,21,0,40,171,0.4247155214790437
22,0.1163465117164899,64.27762551555917,2.291530661512879,22,0,31,140,0.3577963646881267
23,0.10828478552015228,62.16412876428534,2.34552465601757,23,0,30,133,0.345725988932916
24,0.11560784468443061,61.42617349555636,2.285181854036731,24,0,31,147,0.3556318651281557
25,0.107129951105118,59.589770218234094,2.339895748697969,25,0,35,112,0.251100987525984
26,0.11090425957413716,58.22342699811635,2.329714881080389,26,0,39,103,0.26896256545450087
27,0.10702888963304315,56.43004496484975,2.295223430194016,27,0,25,156,0.4481923830844194
28,0.1158718042328139,55.40640066427026,2.2892189126619904,28,0,18,130,0.3906252737471245
29,0.11153180669274958,54.401862171669094,2.270938461770345,29,0,14,109,0.361989609199046
30,0.11511076311690113,53.965672050215524,2.2218672827362593,30,0,33,123,0.3622551616448229
