k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
5,0.1011832808043274,135.36839566836406,2.776354589869869,5,0,274,443,0.19987031407798034
6,0.10290197436607448,121.16714305736977,2.671601320779535,6,0,164,380,0.23237554522003154
7,0.1016616474834005,110.16849429601628,2.5633522302607035,7,0,70,371,0.36433215810622077
8,0.10647497440503362,102.09949779075552,2.5088188344184363,8,0,66,370,0.4591656454945979
9,0.1015787225269812,95.50114990480799,2.522697776120283,9,0,68,284,0.3730289875431861
10,0.10678120304017959,90.95692957037288,2.470122241362851,10,0,68,292,0.42717172850213264
11,0.1133809759670846,86.7211467100453,2.460229465184299,11,0,58,273,0.441271582333772
12,0.11372242083243779,83.4223217581082,2.3580400981220078,12,0,44,227,0.4589240509739508
13,0.10816385487830125,79.55492300675142,2.4430005920406184,13,0,57,238,0.3543020555148972
14,0.10973621082823752,77.04822896181221,2.4807984295432166,14,0,60,224,0.37958912305046677
15,0.11551458341289124,74.88989245200065,2.370029638152955,15,0,54,227,0.367850449185557
16,0.09998135180504754,72.28532573726113,2.343621617880776,16,0,51,175,0.31936939504893735
17,0.12200160450342543,69.78983255569727,2.3087111408378393,17,0,56,211,0.3774863665937212
18,0.1042202384151585,68.16765553188458,2.3455120467633908,18,0,51,172,0.3607698306887075
19,0.10303097475371527,66.39319737966244,2.364616025824539,19,0,37,133,0.317343172257156
20,0.10826476332734089,64.65411845091909,2.315598839982225,20,0,44,149,0.33391307969305284
21,0.11164758400047016,62.985666454459576,2.3483283839590605,21,0,44,130,0.2674722029465328
22,0.11221621637013586,60.922239556034334,2.3275151439262456,22,0,34,148,0.3650808294600832
23,0.11507724273120828,60.080627037846746,2.2634947858825596,23,0,37,113,0.2862852002385981
24,0.11729368904895494,58.83495538967083,2.231721397902127,24,0,35,135,0.3388956998343763
25,0.11273553203235517,56.88688675717583,2.340605518897147,25,0,29,107,0.30766129359282707
26,0.11674828668959783,56.251351852000184,2.2704792286682163,26,0,28,96,0.30743192168235656
27,0.11532290052989719,55.02869963390712,2.2699285665807936,27,0,32,138,0.3248542063527871
28,0.11317741045388656,53.933928769383456,2.32286305338376,28,0,31,91,0.2595192463247296
29,0.11640832910867914,52.219612464042676,2.2860173646138096,29,0,25,90,0.2985029620094737
30,0.1185687060094662,51.336692558587856,2.2889342219772897,30,0,26,94,0.31325141012748303
