sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,2,2,5,3,7,5,8,10,4,7,2,6,2,1,1,13,5
1,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
2,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
3,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
4,2,2,5,3,7,5,1,8,8,0,3,3,14,2,14,6,3
5,2,2,5,6,4,1,1,8,4,3,6,2,14,3,11,0,6
6,3,1,2,1,1,8,1,8,4,3,6,2,9,3,11,0,6
7,3,1,5,6,1,8,1,8,4,3,6,2,9,3,11,0,6
8,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
9,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
10,3,1,2,1,1,2,4,9,2,1,6,2,9,8,11,0,6
11,3,1,2,1,1,2,4,9,2,1,6,2,9,8,11,0,6
12,0,4,5,6,4,1,7,6,1,12,8,12,0,14,5,7,14
13,0,2,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
14,0,4,5,6,4,1,7,6,1,12,8,12,0,14,5,7,18
15,0,2,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
16,0,2,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
17,0,4,4,2,0,1,7,6,1,12,8,12,0,10,16,7,18
18,0,4,4,6,0,1,7,1,7,12,8,12,0,10,16,7,18
19,2,2,5,6,4,8,1,8,4,3,6,2,9,3,11,0,6
20,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
21,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
22,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
23,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
24,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
25,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
26,3,1,2,1,1,8,1,8,4,3,6,2,9,3,11,0,6
27,3,1,2,1,1,8,1,8,4,3,6,2,9,3,11,0,6
28,3,1,2,1,1,8,1,8,4,3,6,2,9,3,11,0,6
29,3,1,2,1,1,8,1,8,4,3,6,2,9,3,11,0,6
30,3,1,2,1,1,2,9,4,11,8,6,2,1,16,11,0,6
31,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
32,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
33,3,1,2,1,1,2,9,4,11,8,0,7,1,16,9,18,8
34,2,2,5,3,7,5,8,8,8,0,3,3,14,2,14,6,3
35,0,4,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
36,0,4,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
37,0,4,4,2,0,1,7,6,1,12,8,12,0,10,16,7,18
38,0,4,4,2,0,1,7,1,7,5,8,12,0,10,16,7,18
39,0,4,4,2,0,1,7,1,7,5,8,12,0,10,16,7,18
40,2,2,5,3,7,5,8,1,7,0,12,3,13,2,14,6,1
41,2,2,5,3,7,5,8,1,8,0,3,3,14,2,14,6,3
42,2,2,5,3,7,5,8,8,8,0,3,2,14,1,11,0,6
43,0,2,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
44,0,4,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
45,0,4,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
46,0,4,4,6,4,1,7,6,1,12,8,12,0,10,16,7,18
47,0,4,4,6,4,1,7,6,1,12,8,12,0,10,16,7,18
48,2,2,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
49,2,2,5,6,4,1,7,1,7,1,8,12,0,10,16,7,18
50,2,2,5,6,4,1,4,1,7,1,8,12,0,10,16,7,18
51,2,2,5,3,7,5,8,10,0,0,2,6,2,1,1,13,5
52,2,2,5,3,7,5,8,1,7,0,12,6,14,1,0,11,1
53,2,2,5,3,7,5,8,1,7,0,12,6,2,1,1,11,1
54,2,2,5,3,7,5,8,10,0,7,2,6,2,1,1,13,6
55,2,2,3,3,7,5,8,10,0,7,2,13,2,1,1,2,16
56,2,2,3,3,7,5,8,10,0,7,9,13,2,1,7,2,16
57,2,2,3,3,7,5,0,10,0,7,9,13,8,1,7,2,16
58,2,2,5,6,4,1,7,6,8,0,3,3,0,2,14,7,3
59,2,2,3,3,7,5,8,10,0,7,2,13,2,1,1,2,16
60,2,2,5,6,4,1,7,6,8,0,3,12,0,2,14,7,3
61,2,2,5,6,4,1,7,6,8,0,3,2,9,8,10,7,6
62,3,1,2,1,1,2,4,9,2,1,6,2,9,8,10,0,6
63,3,1,2,1,1,2,4,9,2,1,6,2,9,8,10,0,6
64,3,1,2,1,1,2,4,9,2,1,6,2,9,8,10,0,6
65,3,1,2,1,1,2,4,9,2,1,6,2,9,8,10,0,6
66,2,2,3,4,3,7,0,0,0,7,9,13,8,13,7,16,17
67,2,2,3,3,7,5,8,10,0,7,9,13,2,1,7,2,16
68,2,2,5,6,4,1,7,6,1,12,3,12,0,14,14,2,14
69,2,2,5,6,4,1,7,6,1,12,3,13,0,14,14,2,14
70,2,2,5,6,4,1,7,6,1,12,3,12,0,14,14,7,14
71,2,2,5,6,4,1,7,6,1,12,8,12,0,10,16,7,18
