condition,cluster,n,ref,window,peak_lag_pct,peak_r,ci_lo_pct,ci_hi_pct,ci_width_pct,at_edge,p_shuffle,interpretable,reason
audio,0,67,4,response,-13.666666666666666,0.49566850040321503,-20.0,-10.333333333333334,9.666666666666666,False,0.0,True,ok
audio,1,82,4,response,-6.666666666666667,0.9281410720064824,-8.858333333333333,-3.4916666666666742,5.366666666666659,False,0.006666666666666667,True,ok
audio,2,50,4,response,-16.0,0.8617160935592729,-19.0,-14.000000000000002,5.0,False,0.0,True,ok
audio,3,74,4,response,15.0,0.8657894822197333,5.333333333333334,16.666666666666664,11.333333333333332,False,0.0,True,ok
audio,5,44,4,response,-7.666666666666666,0.9088428848823722,-11.0,-4.825000000000008,6.174999999999993,False,0.013333333333333334,True,ok
audio,6,7,4,response,-20.0,0.8228906291209691,-20.0,-14.666666666666666,5.333333333333334,True,0.006666666666666667,False,lag censored at search edge
audio,7,190,4,response,-14.333333333333334,0.8982270279466578,-18.333333333333332,-13.666666666666666,4.666666666666667,False,0.0,True,ok
audio,8,254,4,response,-11.333333333333332,0.9499923348579814,-13.666666666666666,-8.666666666666668,5.0,False,0.0,True,ok
audio,9,218,4,response,-4.0,0.7855354965933201,-8.333333333333332,0.1749999999999924,8.508333333333326,False,0.05333333333333334,True,ok
picture,0,67,4,response,-3.0,-0.21300434289765394,-20.0,5.841666666666659,25.841666666666658,False,0.21333333333333335,False,shapes differ (r<0.30)
picture,1,82,4,response,-1.3333333333333335,0.9577728405935404,-4.0,0.33333333333333337,4.333333333333334,False,0.4666666666666667,True,ok
picture,2,50,4,response,-13.333333333333334,0.9317313542743009,-14.666666666666666,-11.666666666666666,3.0,False,0.0,True,ok
picture,3,74,4,response,1.3333333333333335,0.9568479239602398,-0.33333333333333337,3.6666666666666665,4.0,False,0.4066666666666667,True,ok
picture,5,44,4,response,-7.666666666666666,0.9668943787359517,-9.666666666666666,-5.666666666666666,4.0,False,0.0,True,ok
picture,6,7,4,response,-20.0,0.42090626112481055,-20.0,3.6666666666666665,23.666666666666668,True,0.006666666666666667,False,lag censored at search edge
picture,7,190,4,response,-17.0,0.8599104108826976,-18.0,-13.333333333333334,4.666666666666667,False,0.0,True,ok
picture,8,254,4,response,-9.666666666666666,0.9626063717431946,-11.0,-7.666666666666666,3.3333333333333335,False,0.0,True,ok
picture,9,218,4,response,-3.3333333333333335,0.9240437276853677,-3.6666666666666665,-1.4916666666666742,2.1749999999999927,False,0.08666666666666667,True,ok
reading,0,67,4,response,-7.000000000000001,0.26851363905458653,-16.05,-3.3333333333333335,12.716666666666665,False,0.013333333333333334,False,shapes differ (r<0.30)
reading,1,82,4,response,-6.666666666666667,0.9820703476238647,-8.666666666666668,-5.0,3.6666666666666665,False,0.0,True,ok
reading,2,50,4,response,-12.333333333333334,0.9541894967754263,-14.508333333333335,-10.0,4.508333333333333,False,0.0,True,ok
reading,3,74,4,response,6.333333333333334,0.9721583956042248,4.0,8.666666666666668,4.666666666666667,False,0.0,True,ok
reading,5,44,4,response,-6.0,0.9770900360777118,-8.508333333333333,-4.0,4.508333333333333,False,0.006666666666666667,True,ok
reading,6,7,4,response,-19.333333333333332,0.5738222118752473,-20.0,20.0,40.0,False,0.0,False,CI too wide
reading,7,190,4,response,-10.0,0.8781922151740424,-10.333333333333334,-7.000000000000001,3.3333333333333335,False,0.0,True,ok
reading,8,254,4,response,-7.000000000000001,0.9767888875916622,-9.333333333333334,-5.333333333333334,4.0,False,0.0,True,ok
reading,9,218,4,response,-2.666666666666667,0.967501458514014,-4.0,-1.0,3.0,False,0.1,True,ok
