condition,cluster,n,ref,window,peak_lag_pct,peak_r,polarity,ref_polarity,anti,ci_lo_pct,ci_hi_pct,ci_width_pct,at_edge,p_shuffle,interpretable,reason
audio,0,67,4,response,46.0,0.8870995401921661,activation,activation,False,-46.666666666666664,47.0,93.66666666666667,False,0.0,False,CI too wide
audio,1,82,4,response,-6.666666666666667,0.9281410720064824,activation,activation,False,-46.666666666666664,42.333333333333336,89.0,False,0.016666666666666666,False,CI too wide
audio,2,50,4,response,-16.0,0.8617160935592729,activation,activation,False,-19.0,-11.883333333333827,7.1166666666661715,False,0.1,True,ok
audio,3,74,4,response,-24.333333333333336,-0.8964586891161809,suppression,activation,True,-34.0,-21.666666666666668,12.333333333333334,False,0.03333333333333333,True,ok
audio,5,44,4,response,-7.666666666666666,0.9088428848823722,activation,activation,False,-10.666666666666668,-4.5916666666666925,6.074999999999974,False,0.06666666666666667,True,ok
audio,6,7,4,response,47.0,0.9439422796870005,activation,activation,False,-45.666666666666664,47.0,92.66666666666666,True,0.05,False,lag censored at search edge
audio,7,190,4,response,12.0,-0.9215451976460091,suppression,activation,True,-39.666666666666664,13.341666666666663,53.008333333333326,False,0.03333333333333333,False,CI too wide
audio,8,254,4,response,-11.333333333333332,0.9499923348579814,activation,activation,False,-13.674999999999999,-9.325000000000003,4.349999999999997,False,0.0,True,ok
audio,9,218,4,response,-27.333333333333332,-0.951926550143121,suppression,activation,True,-30.666666666666664,-26.0,4.666666666666667,False,0.03333333333333333,True,ok
picture,0,67,4,response,-29.333333333333332,0.8769881859537668,activation,activation,False,-31.666666666666664,47.0,78.66666666666666,False,0.03333333333333333,False,CI too wide
picture,1,82,4,response,-1.3333333333333335,0.9577728405935404,activation,activation,False,-3.0,47.0,50.0,False,0.4166666666666667,False,CI too wide
picture,2,50,4,response,-13.333333333333334,0.9317313542743009,activation,activation,False,-14.666666666666666,-9.283333333333806,5.383333333332862,False,0.05,True,ok
picture,3,74,4,response,-27.0,-0.9729503073526475,suppression,activation,True,-28.000000000000004,46.008333333333326,74.00833333333333,False,0.06666666666666667,False,CI too wide
picture,5,44,4,response,-7.666666666666666,0.9668943787359517,activation,activation,False,-9.666666666666666,-5.316666666666673,4.349999999999994,False,0.1,True,ok
picture,6,7,4,response,-43.333333333333336,0.9587139829242937,activation,activation,False,-45.666666666666664,-28.233333333333366,17.433333333333298,False,0.31666666666666665,True,ok
picture,7,190,4,response,-17.0,0.8599104108826976,activation,activation,False,-47.0,47.0,94.0,False,0.03333333333333333,False,CI too wide
picture,8,254,4,response,-9.666666666666666,0.9626063717431946,activation,activation,False,-47.0,-7.666666666666666,39.33333333333333,False,0.016666666666666666,False,CI too wide
picture,9,218,4,response,-3.3333333333333335,0.9240437276853677,activation,activation,False,-3.675,46.675,50.349999999999994,False,0.11666666666666667,False,CI too wide
reading,0,67,4,response,-42.0,0.9411966001037065,activation,activation,False,-47.0,-37.82500000000074,9.174999999999258,False,0.0,True,ok
reading,1,82,4,response,-6.666666666666667,0.9820703476238647,activation,activation,False,-8.666666666666668,-4.666666666666667,4.0,False,0.0,True,ok
reading,2,50,4,response,-12.333333333333334,0.9541894967754263,activation,activation,False,-15.341666666666667,-10.0,5.341666666666666,False,0.03333333333333333,True,ok
reading,3,74,4,response,-25.666666666666664,-0.7748756291621507,suppression,activation,True,-42.74166666666667,-22.325000000000003,20.41666666666666,False,0.0,False,CI too wide
reading,5,44,4,response,-6.0,0.9770900360777118,activation,activation,False,-8.333333333333332,-4.0,4.333333333333334,False,0.016666666666666666,True,ok
reading,6,7,4,response,8.0,-0.700090031496745,suppression,activation,True,-34.66666666666667,47.0,81.66666666666667,False,0.31666666666666665,False,CI too wide
reading,7,190,4,response,-10.0,0.8781922151740424,activation,activation,False,-46.666666666666664,45.341666666666654,92.00833333333333,False,0.016666666666666666,False,CI too wide
reading,8,254,4,response,-7.000000000000001,0.9767888875916622,activation,activation,False,-9.0,-5.0,4.0,False,0.016666666666666666,True,ok
reading,9,218,4,response,-28.333333333333332,-0.9123793101993298,suppression,activation,True,-33.675,26.333333333333332,60.00833333333333,False,0.0,False,CI too wide
