sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
0,3,0,5,3,7,6,4,5,1,7,1,12,5,2,2,13,17,6,0,1
1,0,4,3,5,5,3,1,4,0,9,5,3,15,3,0,2,8,9,19,4
2,0,4,3,5,0,3,5,6,0,9,5,3,0,9,8,12,4,3,5,4
3,0,4,3,5,0,3,5,6,0,9,5,3,0,9,8,12,4,3,5,4
4,3,2,1,3,7,6,4,1,1,5,6,4,1,6,2,17,1,0,4,10
5,3,2,1,1,1,2,3,1,7,1,8,0,3,4,7,7,5,18,1,6
6,0,4,3,5,5,2,7,4,7,1,8,0,15,11,0,2,19,9,2,6
7,0,1,3,5,5,2,7,4,7,1,8,0,15,11,0,2,19,9,2,6
8,0,4,3,5,0,3,5,6,0,9,5,3,15,9,8,2,8,9,5,4
9,0,4,3,5,0,3,5,6,0,9,5,3,15,9,8,2,8,9,5,4
10,0,4,3,5,5,7,1,4,7,10,8,9,15,3,0,2,8,9,2,6
11,0,4,3,5,5,7,1,4,7,10,8,9,15,3,0,2,8,9,19,6
12,3,2,1,1,1,4,3,3,9,0,10,1,3,12,6,1,6,15,16,2
13,3,2,1,1,1,4,3,3,9,0,10,1,3,13,1,0,15,16,20,12
14,3,2,1,1,1,4,3,3,4,0,10,1,3,13,1,0,15,16,20,12
15,3,2,1,1,1,4,3,3,9,0,10,1,3,13,1,0,15,16,20,12
16,3,2,1,1,1,4,3,3,9,0,10,1,3,13,1,0,15,16,20,0
17,2,3,4,1,1,4,2,3,4,0,10,1,4,13,1,0,15,16,20,0
18,2,2,1,1,1,4,2,3,6,0,12,1,14,13,1,0,15,16,20,0
19,3,2,1,3,5,2,7,4,7,6,8,0,15,4,7,8,5,18,2,6
20,0,4,3,5,0,3,5,6,0,9,5,3,15,9,8,2,8,9,5,4
21,0,4,3,5,0,3,5,6,0,9,5,3,15,9,8,2,8,9,5,4
22,0,4,3,5,0,3,5,6,0,9,5,3,0,9,8,12,4,3,5,4
23,0,4,3,5,0,3,5,6,0,9,5,3,0,9,8,12,4,3,5,4
24,0,4,3,5,0,3,5,6,0,9,5,3,0,9,8,12,4,3,5,4
25,0,4,3,5,0,3,5,6,0,9,5,3,0,9,8,12,4,3,5,4
26,0,4,3,3,5,2,7,4,7,6,8,0,15,11,5,8,19,18,2,6
27,0,4,3,5,5,2,7,4,7,1,8,0,15,11,5,2,19,18,2,6
28,0,4,3,5,5,2,7,4,7,1,8,0,15,11,5,2,19,18,2,6
29,0,4,3,5,5,2,7,4,7,1,8,0,15,11,5,2,19,18,2,6
30,0,4,3,5,5,3,5,4,7,1,8,0,15,11,5,2,19,9,2,6
31,0,4,3,5,0,3,5,6,0,9,5,3,15,9,8,2,4,9,5,4
32,0,4,3,5,0,3,5,6,0,9,5,3,15,9,8,2,8,9,5,4
33,0,4,3,5,0,3,5,6,0,9,5,3,15,9,8,2,8,9,5,4
34,3,2,1,3,7,6,3,0,9,5,6,4,1,6,2,3,6,0,4,2
35,3,2,1,1,1,4,3,3,9,0,10,1,3,13,1,0,15,16,20,0
36,3,2,1,1,1,4,3,3,9,0,10,1,3,13,1,0,15,16,20,0
37,2,3,4,1,1,4,2,3,4,0,10,1,4,13,1,0,15,16,20,0
38,2,3,4,1,1,4,2,3,6,11,12,1,14,13,1,0,15,16,20,0
39,2,3,4,1,1,4,2,3,6,11,12,1,14,13,1,0,15,16,20,0
40,3,2,1,3,7,6,4,0,6,11,12,8,14,10,2,17,1,0,4,10
41,3,2,1,3,7,6,4,0,9,5,12,4,1,6,2,17,1,0,4,10
42,3,2,1,3,7,6,4,0,6,6,12,8,14,4,7,17,1,4,4,10
43,3,2,1,1,1,4,3,3,9,0,10,1,3,13,1,0,15,16,20,0
44,3,2,1,1,1,4,3,3,9,0,10,1,3,13,1,0,15,16,20,12
45,3,2,1,1,1,4,3,3,9,0,10,1,3,13,1,0,15,16,20,0
46,2,3,4,1,1,4,2,3,4,0,10,1,3,13,1,0,15,16,20,0
47,2,3,4,1,1,4,2,3,4,0,10,1,3,13,1,0,15,16,20,0
48,3,2,1,1,1,4,3,3,9,6,10,1,3,4,1,0,5,4,20,0
49,3,2,1,1,1,4,1,3,6,6,12,1,14,4,1,0,5,4,20,0
50,3,2,1,1,1,7,1,0,6,6,12,1,14,4,1,0,5,4,20,0
51,3,2,5,3,7,6,4,5,1,7,1,12,5,2,2,13,1,6,4,10
52,3,2,1,3,7,6,4,0,6,6,12,8,14,10,2,17,1,4,4,10
53,3,2,5,3,7,6,4,0,6,11,12,8,14,10,2,17,1,19,4,10
54,3,0,5,3,7,6,4,5,1,7,1,12,5,2,5,13,1,18,0,10
55,3,0,5,2,3,6,4,5,1,7,1,12,5,2,4,13,0,17,4,19
56,3,0,5,2,3,1,4,5,1,7,1,12,8,1,4,4,0,17,6,19
57,3,0,5,2,3,1,9,5,10,7,1,12,8,1,4,4,0,12,6,19
58,3,2,1,1,1,4,3,3,9,0,10,1,3,4,6,3,5,4,4,2
59,3,0,5,2,3,1,4,5,1,7,1,12,8,1,4,13,0,17,6,19
60,3,2,1,1,1,4,3,3,9,6,10,1,3,4,7,17,5,4,20,12
61,3,2,1,1,1,4,3,3,9,6,10,1,3,4,7,8,5,4,18,0
62,0,4,3,5,5,7,1,4,7,6,8,9,15,4,7,8,5,4,18,0
63,0,4,3,5,5,7,1,4,7,6,8,9,15,4,12,8,7,4,18,0
64,0,4,3,5,5,7,1,4,7,6,8,9,15,4,12,8,7,4,18,0
65,0,4,3,5,5,7,1,4,7,6,8,9,15,4,12,8,7,4,18,0
66,3,0,5,2,3,1,9,9,10,3,11,11,8,1,4,4,0,12,6,19
67,3,0,5,2,3,1,4,5,1,7,1,12,8,1,4,4,0,17,6,19
68,3,2,1,1,1,4,3,3,9,0,10,2,3,12,6,1,6,15,16,2
69,3,2,1,1,1,4,3,3,9,0,10,2,3,12,6,1,0,17,16,2
70,3,2,1,1,1,4,3,3,9,0,10,2,3,12,6,1,6,15,16,2
71,3,2,1,1,1,4,3,3,9,6,10,1,3,4,1,0,5,4,20,0
72,3,2,1,1,5,7,1,0,6,6,12,1,14,4,1,0,5,4,20,0
73,3,2,1,1,5,7,1,0,6,6,12,1,14,4,1,0,5,4,20,0
74,3,2,1,3,7,4,3,3,9,5,6,4,1,6,6,3,6,0,20,12
75,3,2,1,1,1,4,3,3,9,0,10,1,1,6,6,0,15,16,20,12
76,3,2,1,1,1,4,3,3,9,6,12,1,3,4,1,0,5,4,20,0
77,3,2,1,3,7,6,4,0,9,7,12,12,1,2,2,3,6,17,4,2
78,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
79,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
80,3,2,2,3,7,6,4,0,5,6,12,7,14,4,7,8,7,4,18,10
81,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
82,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
83,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
84,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
85,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
86,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
87,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
88,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,7,5,18,8
89,0,2,2,4,6,8,6,2,5,6,3,7,7,4,7,8,7,4,18,8
90,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
91,3,2,1,3,7,6,4,0,9,6,12,8,14,4,7,8,1,4,4,10
92,3,2,1,1,1,4,3,3,9,5,10,1,1,4,6,3,6,0,4,12
93,3,2,1,3,7,6,3,0,9,6,6,4,1,4,7,8,7,4,18,10
94,0,4,2,4,6,8,6,2,5,6,3,7,7,4,11,8,7,4,18,8
95,3,2,1,3,7,6,3,0,6,6,12,8,14,4,7,8,7,4,18,10
96,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,7,5,18,8
97,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
98,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
99,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
100,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,7,5,18,8
101,0,4,2,4,6,8,6,2,5,6,3,7,7,7,11,8,7,5,18,8
102,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
103,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
104,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
105,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
106,0,4,2,4,6,8,6,2,5,2,3,7,7,7,11,10,12,5,15,8
107,3,2,1,3,7,6,4,0,9,5,12,4,1,4,2,3,6,0,4,10
108,3,2,1,3,7,6,4,0,9,6,12,4,1,4,7,17,1,0,4,10
109,3,2,1,1,7,6,3,0,9,6,12,1,1,4,7,8,5,4,18,12
