k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
4,0.13513034582138062,172.8223546796049,2.077115838803761,4,0,127,648,0.6237326145953141
5,0.11850757896900177,153.19870225525221,1.9997831542774205,5,0,98,611,0.7349342683991548
6,0.16481707990169525,140.02513857345735,1.8462462378053488,6,0,51,678,1.0178472221621475
7,0.11299873143434525,130.93835173305914,1.9914202913172694,7,0,50,531,0.8903178550475689
8,0.1052127256989479,123.18009439196808,1.9527755464306846,8,0,50,453,0.8476849435858995
9,0.09210318326950073,117.90258608650743,1.938619203076937,9,0,41,295,0.7388958463267771
10,0.0946236103773117,113.49409183459292,1.8917679236615665,10,0,13,345,0.8742273953779797
11,0.09010237455368042,108.59625440713624,1.933926331144033,11,0,11,294,0.7825735455644796
12,0.1047094389796257,103.38459627828973,1.762074039363882,12,0,3,360,0.9759389801631065
13,0.08878882974386215,99.29111898764013,1.8774402642841417,13,0,3,302,0.8200672843861895
14,0.09446100145578384,95.87397105186578,1.8106224197094754,14,0,3,292,0.9147410541048097
15,0.09735589474439621,92.02251063873798,1.8679410954044917,15,0,3,297,0.9109908012415336
16,0.09429055452346802,89.20406738512287,1.8761673604464968,16,0,3,298,0.9694527466376756
17,0.09615787863731384,86.57253992662012,1.8033165425882642,17,1,1,293,0.9221525068360436
18,0.08893309533596039,83.02086064270284,1.884612355604409,18,0,3,178,0.7627681974924951
19,0.08074202388525009,81.35171914295351,1.9832057503361749,19,1,1,179,0.7441479389361855
20,0.09203248471021652,78.99555882305431,1.9712134878065044,20,0,3,198,0.7945847807707956
21,0.09190534055233002,77.81745736158967,1.9064094362457356,21,1,1,220,0.8260778160370783
22,0.10165771842002869,76.65100095172335,1.802820136957269,22,1,1,206,0.920917567652424
23,0.09898480772972107,74.35210632709435,1.8443526888653847,23,1,1,185,0.9123369783322385
