sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,2,1,4,1,6,9,0,8,1,9,13,8,15,1,9,13,16,16,19,3,15,8,1,3,13,27
1,1,3,1,0,3,3,7,9,6,0,7,1,11,9,15,19,20,4,1,18,18,0,23,16,22,5
2,1,0,5,2,7,7,3,6,5,5,12,1,8,2,4,19,3,12,10,18,18,0,23,16,22,5
3,1,0,5,2,7,7,3,6,5,5,12,1,8,2,4,19,3,12,10,18,18,0,2,16,22,2
4,4,1,4,1,6,5,9,3,10,2,11,7,16,6,11,7,5,2,22,2,1,1,7,21,4,29
5,0,5,6,3,1,2,7,1,7,10,6,15,0,15,10,15,9,9,6,8,7,5,26,17,19,0
6,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,9,20,1,8,21,5,26,9,20,7
7,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,5,9,20,6,8,21,5,26,9,19,14
8,1,3,1,0,3,3,7,9,6,0,0,1,1,17,15,19,12,4,1,18,21,0,6,16,20,5
9,1,3,5,0,7,3,3,9,6,0,7,1,11,17,15,19,12,4,1,18,18,0,6,16,22,5
10,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,0,19,9,1,8,21,5,26,17,20,19
11,0,3,1,0,3,3,7,9,6,0,7,9,11,8,15,5,19,9,14,8,14,17,26,17,18,19
12,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,15,6,5,7,4,22,11,1,27,10
13,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,22,4,6,11,1,27,10
14,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,26
15,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,4,6,11,1,27,10
16,4,5,6,3,0,8,2,10,12,13,9,11,14,8,13,2,18,6,15,22,19,7,19,24,14,17
17,3,5,6,3,0,8,2,10,12,3,9,11,14,8,13,1,18,6,15,22,19,7,19,24,14,17
18,4,5,6,3,0,8,2,10,12,3,9,11,14,8,13,1,18,6,15,22,19,7,19,24,14,17
19,0,3,1,0,3,3,7,9,7,10,0,9,0,17,10,0,19,20,14,8,21,5,26,17,20,0
20,1,3,1,0,3,3,6,9,6,0,7,1,11,17,15,19,12,4,1,18,18,0,23,16,22,5
21,1,3,1,0,3,3,6,9,6,0,7,1,11,9,15,19,12,4,1,18,18,0,23,16,22,5
22,1,0,5,2,7,7,3,6,5,0,12,1,8,2,4,19,12,4,10,18,18,0,23,16,22,5
23,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,19,3,12,10,9,18,0,2,16,22,2
24,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,19,3,12,10,9,18,0,2,16,22,2
25,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,19,3,12,10,9,18,0,2,16,22,2
26,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,0,9,20,6,8,21,5,26,17,20,7
27,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,9,20,1,8,21,5,26,9,20,7
28,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,9,20,1,8,21,5,26,9,20,7
29,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,9,20,1,8,21,5,26,9,20,7
30,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,12,20,1,18,21,5,6,9,20,7
31,1,0,5,0,7,3,3,9,6,0,12,1,1,17,15,19,12,4,1,18,18,0,6,16,22,5
32,1,3,1,0,3,3,7,9,6,0,7,1,11,9,15,19,12,4,1,18,18,0,23,16,22,5
33,1,3,1,0,3,3,6,9,6,0,7,1,11,17,15,19,12,4,1,18,18,0,23,16,22,5
34,4,1,4,1,6,5,1,3,10,2,11,7,16,6,11,3,5,5,18,2,1,22,7,21,15,8
35,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,15,22,19,7,19,24,14,17
36,4,5,6,3,0,8,2,10,12,13,9,11,14,8,13,2,18,6,15,22,19,7,19,24,14,17
37,3,5,6,3,0,8,2,10,12,3,9,11,14,8,13,1,18,6,15,22,19,7,19,24,14,17
38,3,5,6,3,0,8,2,10,11,3,2,5,3,8,13,1,18,6,15,22,19,7,19,24,14,17
39,3,5,6,3,0,8,2,10,11,3,9,5,6,8,13,1,18,6,15,22,19,7,19,24,14,17
40,4,1,4,1,6,5,1,7,11,11,2,5,3,6,11,3,5,2,22,2,1,1,7,21,4,8
41,4,1,4,1,6,5,1,3,10,2,11,7,16,6,11,3,5,2,22,2,1,1,7,21,4,8
42,4,1,4,1,6,5,1,7,11,11,2,5,3,6,11,3,5,2,22,2,1,1,26,21,4,8
43,4,5,6,3,0,8,2,10,12,13,6,15,14,8,13,15,18,6,15,22,19,7,0,1,1,10
44,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,22,16,6,11,1,1,26
45,4,5,6,3,0,8,2,10,12,13,9,11,14,8,8,2,18,6,5,22,19,6,19,24,14,26
46,4,5,6,3,0,8,2,10,12,3,9,11,14,8,13,1,18,6,15,22,19,6,19,24,14,17
47,4,5,6,3,0,8,2,10,12,3,9,11,14,8,13,1,18,6,15,22,19,7,19,24,14,17
48,4,5,6,3,0,8,2,10,12,7,6,15,0,8,13,0,19,9,15,22,19,7,19,24,14,17
49,4,5,6,3,0,8,1,10,11,7,6,15,0,8,13,0,19,9,15,22,19,7,19,24,14,17
50,4,5,6,3,0,8,1,10,11,7,6,5,0,8,13,0,19,9,15,22,19,7,19,24,14,17
51,2,1,4,1,6,9,1,8,1,9,2,8,15,1,9,3,16,16,22,3,1,1,1,3,4,8
52,4,1,4,1,6,5,1,7,11,11,2,5,3,6,11,3,5,2,22,0,1,1,26,21,4,8
53,2,1,4,1,6,5,1,7,11,11,2,5,3,4,1,3,5,2,22,0,1,1,1,21,4,8
54,2,1,4,1,6,9,0,8,1,9,13,8,15,1,9,13,16,16,22,3,1,11,1,12,4,8
55,2,1,4,1,6,9,0,8,1,9,13,4,15,5,6,14,0,14,7,16,1,11,5,12,4,8
56,2,1,4,1,4,9,0,8,1,9,13,4,7,5,6,14,0,14,7,16,10,11,5,12,25,20
57,2,1,4,6,4,9,0,8,1,9,13,4,7,5,6,14,0,14,7,16,10,11,5,12,25,20
58,4,5,6,3,0,5,1,3,10,2,6,15,0,6,11,3,5,2,22,2,1,22,7,21,4,8
59,2,1,4,1,4,9,0,8,1,9,13,4,7,5,6,14,0,14,7,16,10,11,5,12,25,20
60,4,5,6,3,0,5,1,10,12,2,6,15,0,6,13,0,5,2,22,2,1,22,7,21,4,8
