k,cluster,condition,n,onset_pct,crosses,polarity,onset_stim_pct,onset_resp_pct,resp_carryover,peak_pct,peak_db,peak_stim_pct,peak_stim_db,peak_resp_pct,peak_resp_db,mean_db,auc_post_go
5,0,audio,466,3.1666666666666665,True,activation,3.1666666666666665,59.83333333333333,False,75.16666666666667,1.2640653753657165,4.5,0.7451387203636138,75.16666666666667,1.2640653753657165,0.45465393732668125,0.7313667950256605
5,0,picture,466,61.49999999999999,True,activation,,61.49999999999999,False,74.16666666666667,1.2469836214673207,48.166666666666664,-0.1641646392194778,74.16666666666667,1.2469836214673207,0.31914916558438955,0.6994052128208631
5,0,reading,466,66.16666666666667,True,activation,,66.16666666666667,False,76.5,1.1055957726082992,39.166666666666664,-0.343316787145165,76.5,1.1055957726082992,0.1698182549021324,0.4945195369102078
5,1,audio,130,30.166666666666668,True,activation,30.166666666666668,56.49999999999999,False,74.16666666666667,2.7233592656942514,40.49999999999999,-0.749926899599198,74.16666666666667,2.7233592656942514,0.6191764124790099,1.5289094409932298
5,1,picture,130,57.166666666666664,True,activation,,57.166666666666664,False,74.83333333333333,2.8104367898060727,19.166666666666668,-0.3265498671680689,74.83333333333333,2.8104367898060727,0.7536591025742623,1.632222334097695
5,1,reading,130,2.1666666666666665,True,activation,2.1666666666666665,59.166666666666664,False,76.16666666666667,2.7354592685516064,2.4999999999999996,0.8217128557000811,76.16666666666667,2.7354592685516064,0.6650805599368563,1.4131207335196052
5,2,audio,160,3.833333333333333,True,activation,3.833333333333333,50.83333333333333,False,68.16666666666667,0.8250438262766693,42.83333333333333,0.5487004072812851,68.16666666666667,0.8250438262766693,0.3970434101590583,0.4972800344394782
5,2,picture,160,5.5,True,activation,5.5,50.166666666666664,True,28.5,1.3302944057970307,28.5,1.3302944057970307,54.83333333333333,0.9918784063542262,0.8062206587160836,0.6031205938235338
5,2,reading,160,1.8333333333333333,True,activation,1.8333333333333333,50.166666666666664,False,2.4999999999999996,1.063114354442223,2.4999999999999996,1.063114354442223,77.16666666666667,0.7041718001011759,0.486356626123748,0.4257547453611766
5,3,audio,142,9.833333333333332,True,suppression,9.833333333333332,50.166666666666664,True,42.166666666666664,-1.5281076371131963,42.166666666666664,-1.5281076371131963,55.166666666666664,-1.144940721645007,-0.6311927988447248,-0.41718550315886965
5,3,picture,142,16.5,True,suppression,16.5,50.166666666666664,True,61.83333333333333,-1.1066744346040445,49.83333333333333,-0.9504392094464159,61.83333333333333,-1.1066744346040445,-0.48129382079257294,-0.38749077049659286
5,3,reading,142,1.1666666666666667,True,suppression,1.1666666666666667,50.166666666666664,True,52.83333333333333,-1.6360649237750282,45.83333333333333,-1.5859857314121975,52.83333333333333,-1.6360649237750282,-0.8995218509683699,-0.7991257682684964
5,4,audio,795,,False,activation,,,False,71.5,0.3399933874185355,48.49999999999999,-0.250990606506894,71.5,0.3399933874185355,-0.008248321924396566,0.07150982732946723
5,4,picture,795,,False,activation,,,False,71.16666666666667,0.3719097662255836,35.166666666666664,0.12427824173999787,71.16666666666667,0.3719097662255836,0.09926140289912799,0.17522773453339563
5,4,reading,795,,False,activation,,,False,79.16666666666667,0.46561150033286486,2.833333333333333,0.3189977853579458,79.16666666666667,0.46561150033286486,0.10366729238544317,0.16965043081563413
6,0,audio,90,55.83333333333333,True,activation,,55.83333333333333,False,73.83333333333333,2.968906953599718,40.49999999999999,-0.49085617892754574,73.83333333333333,2.968906953599718,0.8125847912372571,1.729645158916929
6,0,picture,90,56.166666666666664,True,activation,,56.166666666666664,False,67.5,3.1291907721095615,44.49999999999999,0.24516719011589885,67.5,3.1291907721095615,0.968390336654613,1.908690496202985
6,0,reading,90,2.1666666666666665,True,activation,2.1666666666666665,58.166666666666664,False,76.16666666666667,2.7882280502054426,2.4999999999999996,0.9642192639501042,76.16666666666667,2.7882280502054426,0.8052255785780512,1.5465710932405075
6,1,audio,445,63.83333333333333,True,activation,,63.83333333333333,False,63.83333333333333,0.5072926200256589,40.166666666666664,0.24445610163325254,63.83333333333333,0.5072926200256589,0.14323013051886604,0.22379102413063498
6,1,picture,445,8.166666666666666,True,activation,8.166666666666666,57.166666666666664,False,67.83333333333333,0.6077150308926004,35.166666666666664,0.5816417350092369,67.83333333333333,0.6077150308926004,0.4078496288058967,0.3770222795272209
6,1,reading,445,2.1666666666666665,True,activation,2.1666666666666665,58.166666666666664,False,2.4999999999999996,0.7724591910331562,2.4999999999999996,0.7724591910331562,77.16666666666667,0.7222804798718458,0.4556565003886329,0.45758343501187054
6,2,audio,112,9.833333333333332,True,suppression,9.833333333333332,50.166666666666664,True,41.166666666666664,-1.6872217279991932,41.166666666666664,-1.6872217279991932,60.49999999999999,-1.2492305919877253,-0.6942161524063728,-0.48843308645668787
6,2,picture,112,6.166666666666667,True,suppression,6.166666666666667,50.166666666666664,True,61.83333333333333,-1.2584174546313338,47.166666666666664,-1.0807377122442372,61.83333333333333,-1.2584174546313338,-0.5477001800902741,-0.45737207708357003
6,2,reading,112,1.1666666666666667,True,suppression,1.1666666666666667,50.166666666666664,True,65.16666666666667,-1.8451653535344772,45.83333333333333,-1.744286285713315,65.16666666666667,-1.8451653535344772,-1.0310553610839088,-0.960628770344686
6,3,audio,259,22.833333333333332,True,activation,22.833333333333332,58.83333333333333,False,75.16666666666667,1.5756389893677705,37.49999999999999,-0.7752910011195583,75.16666666666667,1.5756389893677705,0.1713904250276705,0.7494906625899339
6,3,picture,259,61.166666666666664,True,activation,,61.166666666666664,False,74.83333333333333,1.5185276668187964,19.166666666666668,-0.3603713088381216,74.83333333333333,1.5185276668187964,0.29505249688997376,0.7910547786710571
