sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
0,1,3,0,1,3,2,6,0,3,2,9,1,5,0,7,14,15,16,14,1
1,0,2,4,6,6,3,1,6,2,0,5,11,2,5,13,8,0,9,13,9
2,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
3,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
4,1,3,2,2,7,4,6,4,3,1,1,1,1,11,17,14,18,6,12,12
5,2,0,1,0,5,7,2,1,6,10,11,7,14,9,0,2,5,1,5,20
6,0,2,4,6,6,7,2,6,0,0,5,11,7,16,2,6,9,9,7,5
7,0,1,1,0,5,7,2,1,0,11,4,2,7,16,2,6,9,18,7,5
8,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
9,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
10,0,2,4,6,6,3,2,6,7,0,5,11,2,16,2,6,9,5,7,5
11,0,2,4,6,6,7,2,6,7,0,5,11,2,16,2,6,9,9,5,9
12,2,0,5,3,1,1,8,5,9,4,11,3,13,1,5,1,13,14,2,2
13,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,13,14,4,4
14,2,0,5,3,1,1,8,5,9,4,7,3,13,1,5,1,16,14,4,3
15,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,13,14,4,4
16,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,7,14,4,4
17,3,4,3,5,2,1,5,9,1,7,8,3,4,4,5,1,7,14,4,3
18,3,0,5,3,1,0,0,9,9,4,3,3,13,1,5,1,7,14,4,14
19,2,0,2,2,7,4,0,4,3,1,1,6,1,14,10,0,18,6,2,2
20,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,2
21,2,0,5,3,1,4,8,4,3,1,1,6,1,14,10,0,18,6,2,2
22,2,0,5,3,1,1,8,4,6,10,11,7,14,9,0,2,18,1,2,2
23,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,13,14,2,4
24,2,0,5,3,1,1,8,5,9,4,7,3,13,1,5,1,13,14,2,3
25,1,1,1,0,5,7,2,8,0,11,4,4,12,16,2,6,9,5,7,5
26,0,2,4,6,6,3,1,6,2,12,12,11,8,5,13,8,0,8,13,6
27,0,2,4,6,6,3,1,6,2,12,12,11,8,5,13,8,0,8,13,6
28,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
29,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
30,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
31,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
32,0,2,1,0,5,7,2,1,0,11,4,2,7,16,2,6,9,5,7,5
33,0,2,4,6,6,7,2,6,0,11,4,2,7,16,2,6,9,18,7,5
34,0,1,1,6,6,7,2,1,0,11,4,2,7,16,2,6,9,18,7,5
35,0,2,4,6,6,7,2,6,0,0,5,2,7,16,2,6,9,18,7,5
36,0,2,4,6,6,3,1,6,2,12,12,11,8,16,2,8,9,8,7,5
37,0,2,4,6,6,3,1,6,2,12,12,8,8,5,13,8,0,8,13,6
