sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,3,1,2,6,7,4,5,3,1,12,7,9,3,16,14,7,18
1,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
2,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
3,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
4,3,2,5,5,0,4,5,7,1,12,7,9,3,12,14,7,18
5,3,2,5,5,0,4,5,7,1,12,7,1,3,12,14,7,18
6,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
7,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
8,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
9,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
10,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
11,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
12,2,1,2,6,3,1,2,3,8,10,13,9,6,16,10,3,9
13,2,1,2,6,7,1,2,3,8,10,13,1,3,16,10,3,9
14,3,1,2,6,7,1,2,3,8,10,13,1,3,16,10,3,9
15,3,1,2,6,7,4,2,3,8,10,13,1,3,16,10,3,9
16,3,2,5,5,0,4,2,7,1,12,7,1,3,12,10,7,18
17,3,2,5,5,0,4,5,7,1,12,7,1,3,12,14,7,18
18,3,2,5,5,0,4,5,7,1,12,7,1,3,12,14,7,18
19,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
20,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
21,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
22,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
23,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
24,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
25,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
26,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
27,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
28,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
29,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
30,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
31,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
32,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
33,3,2,5,5,0,4,5,7,1,12,7,11,13,12,14,7,18
34,2,1,2,6,3,1,8,9,8,10,1,9,6,0,10,3,9
35,2,1,2,6,3,4,2,3,8,10,13,1,3,12,10,3,9
36,0,4,1,0,0,4,2,7,1,12,13,1,3,12,13,7,18
37,0,4,1,0,5,4,7,7,1,12,2,1,11,12,13,7,15
38,0,4,1,0,5,4,7,7,1,12,2,1,11,12,13,13,15
39,0,4,1,0,5,4,7,7,1,12,2,1,11,12,13,13,15
40,2,1,2,6,3,1,2,3,8,10,1,9,6,16,10,3,9
41,2,1,2,6,3,1,2,3,8,10,1,9,6,16,10,3,9
42,2,1,2,6,7,1,2,3,8,10,1,9,3,16,10,3,9
43,2,1,2,6,3,1,2,3,8,10,13,1,3,16,10,3,9
44,2,1,2,6,7,1,2,3,8,10,13,1,3,16,10,3,9
45,2,1,2,6,7,4,2,3,8,10,13,1,3,16,10,3,9
46,3,1,2,6,7,4,2,3,8,10,13,1,3,16,10,3,9
47,3,2,5,5,0,4,2,7,1,12,13,1,3,12,10,7,18
48,3,2,5,5,0,4,5,7,1,12,7,1,3,12,14,7,18
49,3,2,5,5,0,4,5,7,1,12,7,1,3,12,14,7,18
50,3,2,5,5,0,4,5,7,1,12,7,1,3,12,14,7,18
51,2,1,2,6,7,1,2,3,8,10,1,9,6,16,10,3,9
