sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,2,1,0,3,1,5,6,8,1,2,5,3,9,1,2,9,3
1,2,1,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
2,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
3,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
4,2,1,3,3,2,5,0,8,1,2,5,2,1,1,2,9,3
5,3,2,3,5,1,5,0,1,4,3,5,2,1,8,11,9,1
6,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
7,2,1,3,3,2,1,0,1,4,3,7,2,1,14,11,16,1
8,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
9,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
10,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
11,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
12,3,0,0,3,1,5,6,8,0,2,5,8,8,1,2,11,3
13,2,1,2,0,3,7,2,10,5,0,11,7,10,13,14,1,15
14,2,1,2,0,3,7,2,10,5,0,11,7,10,13,14,1,15
15,2,1,2,0,3,7,2,10,5,0,11,7,10,13,14,1,15
16,2,1,2,0,3,7,2,10,5,0,11,7,10,13,14,1,15
17,2,1,2,3,3,5,2,1,4,0,7,2,1,14,11,3,1
18,2,1,2,3,2,5,0,1,4,3,7,2,1,14,11,3,1
19,3,0,3,3,2,5,0,1,4,3,7,2,1,14,11,16,1
20,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
21,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
22,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
23,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
24,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
25,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
26,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
27,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
28,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
29,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
30,2,2,3,5,2,1,0,1,4,3,7,2,1,14,11,16,1
