sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
0,2,2,5,1,2,8,7,6,2,9,2,0,15,14,17,15,15,7,4,19
1,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
2,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
3,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
4,2,2,5,0,2,1,7,5,8,9,2,0,15,3,15,15,15,7,4,2
5,1,4,3,0,6,1,6,5,8,7,2,7,15,3,15,15,15,7,10,2
6,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
7,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
8,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
9,2,4,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
10,2,4,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
11,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
12,1,1,4,2,2,8,7,6,1,10,2,8,10,8,7,17,17,6,3,11
13,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
14,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
15,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
16,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
17,2,2,5,3,1,6,4,9,7,5,3,13,3,3,15,3,3,18,10,2
18,2,2,5,3,6,6,4,5,8,7,3,0,3,3,15,3,3,18,10,2
19,1,1,3,0,2,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
20,2,2,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
21,2,4,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
22,2,4,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
23,2,4,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
24,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
25,2,2,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
26,2,2,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
27,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
28,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
29,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
30,2,2,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
31,2,2,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
32,2,2,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
33,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
34,1,1,4,1,4,8,7,6,1,10,2,8,10,8,7,17,17,6,3,11
35,2,2,5,3,2,6,4,9,7,9,3,0,3,3,15,3,3,7,10,2
36,2,2,5,3,2,6,4,9,7,9,3,0,3,3,15,3,3,7,10,2
37,2,2,5,3,1,6,4,9,7,5,3,13,3,3,15,3,3,8,10,2
38,0,2,5,3,1,6,4,9,7,4,3,13,3,3,15,3,3,4,10,2
39,0,2,5,3,1,6,4,9,11,4,3,13,3,3,15,3,3,4,10,2
40,1,1,4,2,2,8,7,6,1,10,2,8,10,8,7,17,17,6,3,11
41,1,1,4,1,2,8,7,6,1,9,2,0,10,14,7,17,17,7,4,11
42,2,2,5,3,1,6,4,9,7,9,6,0,15,9,17,15,15,7,4,7
43,2,2,5,3,2,6,4,9,7,9,6,0,15,9,17,15,15,7,4,7
44,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
45,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
46,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
47,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
48,2,2,5,3,1,6,4,9,7,5,3,13,3,3,15,3,3,18,10,2
49,2,2,5,0,6,6,6,5,8,7,3,0,3,3,15,3,3,18,10,2
50,2,2,5,0,6,6,6,5,8,7,3,0,3,3,15,3,3,18,10,2
51,2,2,5,3,2,6,7,6,2,9,2,0,15,9,17,15,15,7,4,7
52,2,1,4,1,2,8,7,6,2,9,2,0,15,9,1,15,15,7,4,7
53,2,2,5,3,2,6,7,6,2,9,2,0,15,9,17,15,15,7,4,7
54,2,2,5,0,2,6,7,6,1,9,2,0,15,14,17,15,15,7,4,7
55,2,2,5,1,2,8,7,6,2,9,2,0,15,14,17,15,15,7,4,7
56,2,1,4,1,2,8,7,6,1,9,2,0,10,14,17,10,10,20,4,7
57,1,1,4,2,2,8,7,6,1,10,2,8,10,8,7,10,10,20,4,11
58,1,1,4,1,2,8,7,6,2,9,2,12,15,9,1,15,15,20,4,17
59,3,3,1,4,0,3,9,1,10,3,9,6,4,2,11,9,4,14,20,21
60,1,3,1,2,5,2,1,1,10,11,10,11,14,2,6,9,19,19,20,21
61,3,3,1,2,5,2,1,1,10,11,10,11,14,11,6,14,18,19,17,0
62,3,4,3,2,5,2,1,3,4,11,10,14,14,11,6,14,14,19,17,0
63,1,4,3,2,5,1,6,3,4,7,3,7,14,11,15,14,14,18,17,0
64,1,4,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
65,1,4,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
66,3,1,1,4,4,8,9,1,10,3,4,6,4,2,11,10,4,20,20,21
67,1,1,4,4,4,8,9,1,10,3,4,6,4,2,11,9,4,20,20,21
68,3,3,1,4,0,2,1,1,10,3,10,6,4,2,11,9,4,20,20,21
69,1,1,4,1,2,8,7,6,1,10,2,1,10,8,7,17,17,20,3,11
70,2,1,4,1,2,8,9,6,2,9,2,0,15,9,17,15,15,7,8,7
71,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
72,2,2,3,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
73,2,2,5,0,6,1,6,5,8,7,3,7,3,3,15,3,3,18,10,2
74,2,1,4,1,2,8,7,6,2,9,2,0,15,9,1,15,15,7,8,7
75,2,2,5,3,1,6,4,9,7,5,6,0,6,14,17,6,6,7,4,7
76,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
77,2,2,5,3,1,6,3,4,5,2,8,4,8,4,3,8,8,13,4,12
78,2,2,5,0,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
79,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
80,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
81,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
82,2,2,5,0,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
83,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
84,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
85,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
86,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
87,2,2,5,0,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
88,2,2,5,3,1,7,4,4,5,5,8,13,6,15,9,6,6,8,15,5
89,2,2,5,3,1,7,4,4,5,5,8,13,6,15,9,6,6,8,15,5
90,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
91,2,2,5,1,2,8,9,6,2,9,4,12,15,9,1,15,15,7,4,19
92,3,3,1,4,4,3,9,1,10,3,4,6,4,2,11,9,19,14,20,21
93,2,2,5,1,2,8,7,6,2,9,2,0,15,9,17,15,15,7,4,19
94,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
95,2,2,5,1,2,7,3,6,2,9,8,4,15,9,1,15,15,10,8,12
96,2,2,5,3,1,7,4,4,5,5,8,13,6,15,9,6,6,8,15,5
97,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
98,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
99,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
100,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
101,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
102,2,2,5,0,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
103,2,2,5,0,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
104,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
105,2,2,5,0,6,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
106,2,2,5,0,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
107,2,2,5,3,2,6,7,9,7,9,2,0,15,14,17,15,15,7,4,7
108,2,2,5,3,1,7,3,4,5,2,8,4,6,4,3,8,8,13,11,12
109,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
110,2,2,5,3,1,7,3,4,5,2,8,4,8,4,3,8,8,13,11,12
111,2,2,5,3,2,6,7,9,7,9,2,0,15,14,17,15,15,7,4,7
