k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
5,0.08063000440597534,124.25493039648637,2.634654429372838,5,0,173,756,0.6385784495333664
6,0.0646083727478981,111.97352131248026,2.882095130854456,6,0,161,492,0.4275946916802773
7,0.06452199816703796,101.52862693620128,2.6957219632846003,7,0,78,449,0.46549467394727617
8,0.06881226599216461,94.6316963466886,2.6557935513872404,8,0,76,435,0.5039466581544738
9,0.06422768533229828,88.51482152508055,2.649542573516367,9,0,81,417,0.5605045120589888
10,0.06370505690574646,82.82052545697641,2.7703751399494374,10,0,60,295,0.4685527055400131
11,0.07315025478601456,78.48545409379388,2.5454599198351953,11,0,61,387,0.6400666149602419
12,0.06880063563585281,74.6123122978029,2.64869527491235,12,0,69,286,0.4190472343266357
13,0.06687775999307632,70.98489898763313,2.653382125265585,13,0,69,246,0.42353533746121924
14,0.06992195546627045,67.75300629118559,2.680472739406483,14,0,43,209,0.4169664600684208
15,0.07445403188467026,65.47007264514515,2.5884437671555043,15,0,43,243,0.5052523967263558
16,0.07427608221769333,63.101686978082384,2.4663285675134548,16,0,3,259,0.5970239775822718
17,0.07773969322443008,60.861308874458985,2.5851994326424395,17,0,32,246,0.6190961387824965
18,0.07900010794401169,58.7626401936615,2.5136538244798645,18,0,17,254,0.6643706638825813
19,0.07362373173236847,56.84041310153143,2.494577964237768,19,0,12,256,0.6387740132833652
20,0.07612071186304092,55.627172015430105,2.4865429111094066,20,0,14,195,0.5372837269896149
21,0.07887285202741623,54.09458404502874,2.5282674055632373,21,0,19,163,0.46417067385062616
22,0.07736047357320786,52.650786908815576,2.484284591395787,22,0,12,175,0.5607798801269477
23,0.08103513717651367,51.27184115672481,2.4663652427327,23,0,8,155,0.5944269019553904
24,0.07725897431373596,50.47527330007065,2.495813923143239,24,0,15,139,0.5409839987746407
25,0.08253748714923859,49.89719275956694,2.2878378543964284,25,0,3,190,0.664816096401231
26,0.07678857445716858,47.85864921555817,2.5077546570515286,26,0,18,193,0.6019782368178868
27,0.07488235086202621,47.2271798688583,2.384082891037835,27,0,3,142,0.6231729197145038
28,0.08541527390480042,46.38433344110821,2.3204845365197984,28,0,3,183,0.7202740959096564
29,0.0840151235461235,45.829767316267905,2.4178453601979792,29,0,12,135,0.5764157813498436
30,0.08035010099411011,44.25455270024406,2.36713217699664,30,0,3,135,0.5699989900294337
