sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,4,1,2,1,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
1,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
2,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
3,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
4,4,1,2,1,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
5,0,0,0,3,2,9,3,2,0,12,6,1,13,9,16,6,11,14,15,15,6,19,13,3,14,5
6,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
7,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
8,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
9,0,0,0,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
10,0,0,0,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
11,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
12,0,0,0,4,1,1,8,1,6,1,8,8,2,7,4,0,7,7,0,0,15,11,8,3,20,1
13,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,16
14,4,1,2,1,6,3,8,6,2,7,13,14,8,10,18,12,17,17,21,13,12,16,5,9,25,16
15,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,16
16,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,16
17,4,1,2,1,6,3,8,6,2,7,13,14,13,10,16,6,11,17,15,15,6,19,13,3,14,5
18,4,1,2,1,6,3,3,2,0,12,6,1,13,10,16,6,11,14,15,15,6,19,13,3,14,5
19,0,0,0,3,2,9,3,2,0,12,6,1,13,9,16,6,11,3,15,15,6,19,13,3,14,5
20,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
21,0,0,0,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
22,0,0,0,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
23,0,0,0,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
24,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
25,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
26,0,1,0,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
