sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,4,3,3,4,9,3,14,12,13,16,18
1,4,3,3,4,9,7,14,12,13,10,18
2,3,6,9,1,5,7,10,9,2,10,18
3,3,6,9,1,5,7,10,9,2,10,18
4,3,6,9,1,5,7,10,9,2,10,18
5,3,6,9,1,5,7,10,9,2,10,18
6,4,3,3,4,9,3,3,12,13,16,3
7,4,3,3,4,9,3,3,12,13,16,3
8,4,10,3,4,2,3,3,0,13,16,3
9,4,3,3,4,9,3,3,12,13,16,3
10,4,3,3,4,2,3,3,12,13,16,3
11,4,10,5,9,2,1,3,7,13,16,18
12,1,10,5,9,2,1,3,7,13,16,18
13,4,3,3,4,9,3,3,12,13,16,18
14,0,7,1,4,9,11,14,10,11,18,6
15,0,2,1,8,8,0,14,6,11,5,6
16,0,2,1,8,8,0,12,6,11,5,6
17,0,2,1,8,8,0,14,6,11,5,6
18,4,3,3,4,9,3,3,12,13,16,18
19,3,6,9,1,5,7,10,7,2,10,18
20,3,6,9,1,5,7,10,7,2,10,18
21,1,10,5,9,2,1,3,5,13,16,3
22,1,10,5,9,2,1,3,5,13,2,3
23,1,10,5,9,2,1,3,7,13,16,18
24,1,10,5,9,2,1,3,7,13,16,18
25,4,3,3,4,9,3,3,12,13,16,15
26,4,3,3,4,9,3,3,12,13,16,15
27,9,7,6,12,6,11,15,10,5,9,1
28,4,3,3,4,9,3,14,12,11,18,6
29,4,3,3,8,9,0,14,6,11,18,6
30,4,3,3,8,9,0,14,6,11,18,6
31,9,7,6,12,6,11,15,10,5,9,1
32,4,3,3,4,9,3,14,12,11,18,6
33,4,3,3,4,9,3,14,12,11,18,6
34,4,3,3,4,9,3,14,12,11,18,6
35,4,3,3,4,9,3,14,12,11,18,6
36,1,10,5,9,2,1,1,7,15,2,19
37,1,10,5,9,2,1,1,7,15,2,19
38,1,10,5,9,2,4,1,7,15,2,19
39,8,5,10,5,12,4,13,13,7,17,8
40,8,5,10,5,12,4,13,13,7,17,8
41,8,5,10,5,12,4,13,13,7,17,8
42,7,0,0,2,4,5,6,5,1,2,3
43,1,10,5,9,2,5,1,5,15,2,19
44,1,10,0,9,2,5,6,5,15,2,19
45,1,10,5,9,2,1,1,5,15,2,19
46,1,10,5,9,2,1,1,5,15,2,19
47,1,10,5,9,2,1,1,7,15,2,19
48,1,10,5,9,2,1,1,7,15,2,19
49,1,10,5,9,2,1,1,7,15,2,19
50,0,7,1,11,8,11,5,10,9,9,12
51,0,2,1,11,8,10,5,1,9,0,12
52,0,2,1,11,8,10,5,1,9,0,12
53,9,0,6,12,6,9,7,14,5,1,2
54,9,0,6,12,6,9,7,14,5,1,2
55,1,10,5,9,2,1,1,7,15,2,19
56,8,5,10,5,12,4,13,13,7,17,8
57,8,5,10,5,12,4,13,13,7,17,8
58,7,0,0,2,4,9,6,14,1,1,2
59,1,10,5,9,2,5,1,5,15,2,19
60,7,0,0,2,4,5,6,14,1,12,2
61,1,10,5,9,2,1,1,5,15,2,19
62,1,10,5,9,2,1,1,7,15,2,19
63,1,10,5,9,2,1,1,5,15,2,19
64,1,10,5,9,2,1,3,5,13,2,3
65,9,7,6,12,6,9,7,10,5,1,1
66,9,7,6,12,6,11,15,10,5,9,1
67,9,7,6,12,6,11,15,10,5,9,1
68,9,7,6,12,6,11,15,10,5,9,1
69,9,7,6,12,6,11,15,10,5,9,1
70,7,0,0,2,4,9,7,14,1,1,2
71,7,0,0,2,4,9,6,14,4,12,2
72,7,0,0,2,4,5,6,14,1,12,2
73,7,1,8,7,1,5,6,11,4,12,9
74,5,1,8,7,1,14,9,11,14,4,9
75,5,4,2,6,7,8,2,2,3,3,14
76,5,4,2,6,7,8,2,2,3,3,14
77,9,7,6,12,6,9,7,10,5,1,1
78,9,7,6,12,6,11,15,10,5,9,1
79,9,0,6,12,6,9,7,14,5,1,2
80,7,0,0,2,4,9,7,14,1,1,2
81,7,0,0,2,4,5,6,5,1,12,2
82,7,0,0,2,4,5,6,5,1,12,19
83,7,0,0,2,4,5,6,5,1,12,19
84,7,0,0,2,4,5,6,5,1,12,19
85,5,4,2,6,7,8,2,2,3,3,14
86,2,8,4,10,3,2,8,8,6,3,14
87,5,4,2,6,7,8,2,2,3,3,14
88,5,4,2,6,7,8,2,2,3,3,14
89,5,4,2,6,7,8,2,2,3,3,14
90,9,4,2,6,7,8,2,2,3,3,2
91,1,10,5,9,2,1,1,7,15,2,0
92,1,10,5,9,2,1,1,7,15,8,0
93,3,6,9,1,2,7,1,7,2,8,0
94,3,6,9,1,5,7,10,7,2,8,0
95,3,6,9,1,5,7,10,7,2,8,0
