sample_idx,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,5,6,2,2,6,9,11,4,3,14,7,8,14,0,2
1,5,6,2,2,0,6,11,3,8,8,7,8,14,0,2
2,5,6,2,2,0,6,11,3,8,8,7,8,13,0,18
3,5,6,2,2,0,6,11,3,8,8,7,8,13,0,18
4,5,6,2,2,0,6,11,3,8,8,7,8,13,0,18
5,5,6,2,2,0,6,11,3,8,8,7,8,13,0,18
6,5,6,2,2,6,9,2,4,3,14,5,9,14,2,14
7,5,6,2,2,6,9,2,4,12,14,2,9,2,2,14
8,5,4,1,2,2,7,1,11,12,14,2,9,2,2,14
9,5,6,2,2,6,9,2,4,12,14,2,9,2,2,14
10,5,6,2,2,6,9,1,4,12,14,2,9,2,2,14
11,5,6,2,2,0,6,11,3,8,14,7,8,2,0,14
12,5,6,2,2,0,6,11,3,8,8,7,8,13,0,14
13,5,6,2,2,0,6,11,3,8,14,7,8,14,0,2
14,0,0,6,4,3,3,3,10,6,1,1,0,3,4,1
15,0,6,2,2,6,9,2,4,3,1,5,0,3,2,1
16,3,6,2,2,6,9,2,4,3,1,5,0,3,4,1
17,3,2,4,3,8,10,6,0,1,6,0,0,3,4,17
18,3,2,4,3,8,10,6,0,1,6,0,0,3,4,17
19,5,6,2,2,6,9,11,4,3,14,7,8,14,0,14
20,5,6,2,2,0,6,11,3,8,8,7,8,13,0,18
21,5,6,2,2,0,6,11,3,8,8,7,8,13,0,18
22,0,0,0,1,9,1,8,2,10,3,8,10,12,1,6
23,0,0,0,1,9,1,8,6,10,3,8,10,12,1,6
24,0,0,0,1,6,1,2,4,12,14,8,9,2,2,14
25,5,4,1,7,2,7,1,11,12,14,2,9,2,3,14
26,5,4,1,7,2,7,1,11,12,14,2,9,2,3,14
27,5,6,2,2,2,6,1,11,2,14,2,8,6,0,14
28,5,6,2,2,0,6,11,3,8,14,7,8,6,0,14
29,5,6,2,2,6,9,2,4,3,14,5,9,14,2,14
30,5,6,2,2,6,9,2,4,3,14,5,9,14,2,14
31,0,0,6,4,3,3,3,10,6,13,1,16,0,6,5
32,0,6,2,2,6,9,2,4,3,1,5,0,14,2,1
33,3,6,2,2,6,9,2,4,3,1,5,0,3,4,1
34,3,6,2,2,6,9,2,4,3,1,5,0,3,4,1
35,0,0,6,4,3,3,3,10,6,1,1,0,0,4,1
36,3,2,6,4,3,3,3,10,6,1,1,0,3,4,1
37,3,6,6,4,6,9,2,4,3,1,5,0,3,4,1
38,5,6,2,2,6,9,2,4,3,1,5,0,14,2,1
39,5,6,2,2,6,9,2,4,3,1,5,0,14,2,1
40,3,2,6,4,3,3,3,10,6,1,1,0,3,4,1
41,0,6,6,4,6,9,2,4,3,1,5,0,0,2,1
42,5,6,2,2,6,9,2,4,3,1,5,0,14,2,1
43,5,6,2,2,6,9,2,4,3,1,5,0,14,2,2
