sample_idx,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_19,k_20,k_21,k_22
0,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
1,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
2,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
3,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
4,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
5,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
6,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
7,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
8,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
9,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
10,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
11,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
12,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
13,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
14,1,1,1,3,0,11,5,4,1,3,2,15,9,2,4
15,1,1,1,3,0,1,10,3,1,3,2,1,3,1,1
16,1,1,1,3,0,1,10,3,1,3,2,1,3,1,1
17,1,1,1,3,0,1,10,3,1,3,2,1,3,1,1
18,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
19,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
20,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
21,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
22,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
23,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
24,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
25,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
26,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
27,2,2,0,2,1,11,5,0,7,12,6,0,9,0,3
28,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
29,2,2,0,5,0,11,5,4,12,12,1,15,9,2,4
30,2,2,0,5,0,11,5,4,12,12,1,15,9,2,4
31,2,2,0,2,0,11,5,0,7,12,1,0,9,0,3
32,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
33,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
34,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
35,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
36,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
37,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
38,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
39,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
40,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
41,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
42,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
43,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
44,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
45,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
46,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
47,0,0,3,2,1,0,2,2,3,1,4,5,1,19,5
48,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
49,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
50,1,1,1,3,0,1,10,3,1,3,2,1,0,1,1
51,1,1,1,3,0,1,10,3,1,3,2,1,3,1,1
52,1,1,1,3,0,1,10,3,1,3,2,1,3,1,1
53,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
54,0,0,3,2,1,5,0,0,3,6,6,5,0,0,3
55,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
56,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
57,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
58,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
