sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,9,6,4,6,0,5,13,14,15,16,8
1,9,6,4,6,0,5,13,14,15,16,8
2,9,6,4,6,0,5,13,14,15,16,8
3,9,6,4,6,0,5,13,14,15,16,8
4,9,6,4,6,0,5,13,14,15,16,8
5,9,6,4,6,0,5,13,14,15,16,8
6,6,4,7,4,3,6,10,10,8,6,9
7,9,10,7,4,0,5,1,15,1,16,9
8,9,10,7,4,0,5,1,15,1,1,9
9,9,10,4,4,0,5,1,15,1,16,8
10,9,10,4,6,0,5,1,14,1,16,8
11,9,6,4,6,0,5,13,14,15,16,8
12,9,6,4,6,0,5,13,14,15,16,8
13,9,6,4,6,0,5,13,14,15,16,8
14,9,10,4,6,0,5,9,15,1,16,8
15,9,10,4,6,0,5,9,14,15,16,8
16,9,10,4,6,0,5,9,14,15,16,8
17,9,10,4,6,0,5,9,14,15,16,8
18,9,6,4,6,0,5,13,14,15,16,8
19,9,6,4,6,0,5,13,14,15,16,8
20,9,6,4,6,0,5,13,14,15,16,8
21,9,4,7,4,0,6,1,15,1,1,9
22,9,10,7,4,0,5,1,15,1,16,9
23,9,6,4,6,0,5,1,14,1,16,8
24,9,6,4,6,0,5,13,14,15,16,8
25,9,10,4,4,0,5,10,14,8,16,8
26,9,10,4,6,0,5,1,14,15,16,8
27,0,0,2,8,13,13,8,5,13,5,17
28,9,10,2,8,0,5,1,15,1,5,17
29,9,10,4,6,0,5,9,14,15,16,8
30,9,10,4,6,0,5,9,14,15,16,8
31,0,0,2,8,13,13,8,5,13,5,17
32,9,10,7,4,0,6,1,15,1,6,9
33,9,10,4,6,0,5,1,14,1,16,8
34,9,10,4,6,0,5,1,14,1,16,8
35,9,10,4,6,0,5,1,14,1,16,8
36,7,1,11,0,10,11,11,1,2,12,19
37,7,4,11,0,10,11,11,1,2,12,19
38,7,6,11,0,10,11,11,1,2,12,19
39,7,6,11,0,10,11,13,1,2,12,19
40,7,6,11,0,10,11,13,1,2,12,19
41,7,6,11,0,10,11,13,1,2,12,19
42,0,0,9,8,13,12,11,4,13,9,6
43,0,1,9,0,13,11,11,4,13,9,6
44,0,1,9,10,1,1,11,4,13,9,6
45,1,1,9,10,1,11,11,1,2,9,6
46,7,1,11,0,1,11,11,1,2,12,19
47,7,1,11,0,10,11,11,1,2,12,19
48,7,1,11,0,10,11,11,1,2,12,19
49,7,1,11,0,10,11,11,1,2,12,19
50,0,0,2,8,13,13,8,5,13,5,17
51,2,8,0,3,12,13,12,12,7,5,1
52,2,8,0,3,12,13,12,12,7,5,1
53,0,1,9,10,1,1,4,0,13,9,6
54,0,0,2,8,13,13,4,0,13,9,6
55,0,0,2,8,13,11,8,5,2,12,19
56,0,6,11,8,10,11,8,1,2,12,19
57,7,6,11,0,10,11,11,1,2,12,19
58,0,0,2,8,13,13,8,5,13,9,6
59,1,1,9,10,1,1,11,4,13,9,6
60,0,0,2,8,13,1,8,5,13,9,6
61,0,1,9,10,1,1,8,1,13,9,6
62,7,1,11,0,1,11,11,1,2,12,19
63,0,0,2,8,13,11,11,1,2,12,19
64,0,0,2,8,13,11,11,5,2,12,19
65,0,0,2,8,13,13,8,5,13,5,17
66,0,0,2,8,13,13,8,5,13,5,17
67,0,0,2,8,13,13,8,5,13,5,17
68,0,0,2,8,13,13,8,5,13,5,17
69,0,0,2,8,13,13,8,5,13,5,17
70,0,0,2,8,13,13,4,5,13,9,16
71,0,1,9,10,1,1,4,0,13,9,6
72,0,0,2,8,1,1,4,0,13,9,6
73,0,1,9,10,1,1,4,4,13,9,6
74,1,1,9,10,1,1,3,6,13,9,6
75,5,7,3,5,9,14,6,7,6,3,11
76,5,7,3,5,9,14,6,7,6,3,11
77,0,0,2,8,13,13,8,5,13,5,17
78,0,0,2,8,13,13,8,5,13,5,17
79,0,0,2,8,13,13,8,5,13,5,17
80,8,3,1,7,8,3,14,2,0,17,5
81,8,3,1,7,8,3,14,2,0,17,5
82,7,3,1,7,8,3,14,2,0,17,5
83,7,1,9,10,10,1,11,6,0,14,5
84,7,1,9,0,10,11,11,1,2,12,19
85,5,7,3,5,9,14,6,7,6,3,11
86,5,7,3,5,9,14,6,7,6,3,11
87,5,7,3,5,9,14,6,7,6,3,11
88,3,5,10,7,8,4,5,11,6,7,11
89,1,1,9,10,1,1,0,4,13,9,6
90,3,5,10,1,4,4,5,11,4,7,7
91,7,6,11,0,10,11,11,1,2,12,19
92,7,6,11,0,10,11,11,1,2,12,19
93,7,6,11,0,10,11,11,1,2,12,19
94,7,6,11,0,10,11,13,1,2,12,19
95,7,6,11,0,10,11,13,1,2,12,19
96,7,6,11,0,10,11,13,1,2,12,19
97,6,4,1,2,11,12,10,16,0,14,5
98,1,4,5,2,11,11,11,16,2,14,19
99,6,4,11,0,11,11,11,1,2,12,19
100,6,4,9,0,11,11,11,16,2,14,19
101,7,4,11,0,11,11,11,1,2,12,19
102,7,4,11,0,5,11,11,1,2,12,19
103,7,1,11,0,10,11,11,1,2,12,19
104,7,4,11,0,5,11,0,1,2,12,19
105,7,6,11,0,10,11,11,1,2,12,19
106,0,0,2,8,13,0,0,4,13,5,17
107,0,0,9,0,13,11,0,4,13,9,19
108,0,0,2,8,13,11,8,5,13,5,17
109,0,0,11,8,13,11,8,5,2,12,19
110,0,0,11,8,13,11,8,5,2,12,19
111,1,3,1,7,8,3,5,11,0,17,5
112,7,4,11,0,10,11,11,1,2,12,19
113,7,6,11,0,10,11,13,1,2,12,19
114,7,6,11,0,10,11,13,1,2,12,19
115,1,1,9,10,1,1,3,6,10,7,6
116,6,4,9,2,11,12,11,16,5,14,3
117,6,4,7,2,11,12,10,16,5,14,12
118,7,4,11,0,5,11,0,1,2,12,19
119,6,4,11,0,11,11,11,1,2,12,19
120,7,1,11,0,10,11,11,1,2,12,19
121,7,6,11,0,10,11,11,1,2,12,19
122,7,4,11,0,10,11,11,1,2,12,19
123,0,4,11,0,13,11,11,1,2,12,19
124,0,0,2,8,13,13,8,5,13,5,17
125,0,0,2,8,13,13,8,5,13,5,17
126,0,0,2,8,13,13,8,5,13,5,17
127,0,0,2,8,13,13,8,5,13,5,17
128,0,0,11,8,13,11,8,1,2,12,19
129,0,0,11,8,13,11,8,1,2,12,19
130,0,0,2,8,13,13,8,5,13,5,17
131,0,0,2,8,13,13,8,5,13,5,17
132,0,0,2,8,13,13,8,5,13,5,17
133,0,0,2,8,13,13,8,5,13,5,17
134,0,0,2,8,13,11,8,5,2,12,19
135,0,0,11,0,13,11,11,1,2,12,19
136,0,0,11,0,13,11,8,1,2,12,19
137,0,0,2,8,13,13,8,5,13,9,17
138,0,1,9,8,13,1,11,4,13,9,6
139,1,1,9,10,1,1,11,4,10,9,6
140,1,1,9,10,1,1,11,4,13,9,6
141,0,0,2,8,13,13,4,4,13,9,6
