cluster_id,n_total,n_unknown,entropy_bits,purity,top_region,top_proportion,top_3_json,p_entropy_lower_tail,null_entropy_mean
0,13,2,3.095795255000934,0.18181818181818182,supramarginal,0.182,"[[""supramarginal"", 0.182], [""precentral"", 0.182], [""superiorfrontal"", 0.091]]",0.652,3.013822215218567
1,78,43,3.2583132039345646,0.2857142857142857,middletemporal,0.286,"[[""middletemporal"", 0.286], [""superiortemporal"", 0.171], [""inferiortemporal"", 0.114]]",0.0,3.9771420015854306
2,10,5,0.9709505944546686,0.6,rostralmiddlefrontal,0.6,"[[""rostralmiddlefrontal"", 0.6], [""superiorfrontal"", 0.4]]",0.0,2.7877663874307936
3,130,57,3.4040951556431502,0.2191780821917808,postcentral,0.219,"[[""postcentral"", 0.219], [""insula"", 0.164], [""middletemporal"", 0.137]]",0.0,4.094051354562006
4,108,36,3.798563185658809,0.1527777777777778,precentral,0.153,"[[""precentral"", 0.153], [""superiorfrontal"", 0.125], [""caudalmiddlefrontal"", 0.097]]",0.012,4.055029349445674
5,121,51,3.525971398234456,0.17142857142857143,supramarginal,0.171,"[[""supramarginal"", 0.171], [""insula"", 0.157], [""inferiortemporal"", 0.129]]",0.0,4.083949844699058
6,87,61,2.907009314945296,0.23076923076923078,inferiortemporal,0.231,"[[""inferiortemporal"", 0.231], [""insula"", 0.192], [""lateralorbitofrontal"", 0.154]]",0.0,4.012562168723931
7,125,102,3.5883543471732335,0.13043478260869565,postcentral,0.13,"[[""postcentral"", 0.13], [""temporalpole"", 0.13], [""fusiform"", 0.087]]",0.0,4.085129329487484
8,76,72,0.8112781244591328,0.75,middletemporal,0.75,"[[""middletemporal"", 0.75], [""precentral"", 0.25]]",0.0,3.9878070104854584
9,189,101,3.9090576539412023,0.11363636363636363,superiortemporal,0.114,"[[""superiortemporal"", 0.114], [""middletemporal"", 0.114], [""postcentral"", 0.102]]",0.0,4.138611050799327
10,8,3,0.7219280948873623,0.8,parsopercularis,0.8,"[[""parsopercularis"", 0.8], [""supramarginal"", 0.2]]",0.0,2.5857969843128004
11,23,16,0.0,1.0,lateraloccipital,1.0,"[[""lateraloccipital"", 1.0]]",0.0,3.4461381142235386
12,130,13,4.017371228703114,0.1623931623931624,middletemporal,0.162,"[[""middletemporal"", 0.162], [""inferiortemporal"", 0.111], [""postcentral"", 0.085]]",0.25,4.087298477942914
13,8,6,1.0,0.5,lateraloccipital,0.5,"[[""lateraloccipital"", 0.5], [""bankssts"", 0.5]]",0.0,2.5768891578353177
14,49,24,2.7288840705376356,0.24,precentral,0.24,"[[""precentral"", 0.24], [""insula"", 0.2], [""postcentral"", 0.16]]",0.0,3.8422201169901
15,57,15,2.874354164979266,0.30952380952380953,inferiortemporal,0.31,"[[""inferiortemporal"", 0.31], [""middletemporal"", 0.214], [""fusiform"", 0.143]]",0.0,3.887466539789483
16,66,59,1.3787834934861753,0.5714285714285714,middletemporal,0.571,"[[""middletemporal"", 0.571], [""supramarginal"", 0.286], [""inferiortemporal"", 0.143]]",0.0,3.92952625021728
17,78,63,2.5559130951758244,0.4,middletemporal,0.4,"[[""middletemporal"", 0.4], [""inferiortemporal"", 0.2], [""superiorparietal"", 0.067]]",0.0,3.9883116190724306
18,110,38,3.6147686207589103,0.19444444444444445,rostralmiddlefrontal,0.194,"[[""rostralmiddlefrontal"", 0.194], [""lateralorbitofrontal"", 0.167], [""insula"", 0.125]]",0.0,4.060795138197243
19,72,65,1.3787834934861753,0.5714285714285714,middletemporal,0.571,"[[""middletemporal"", 0.571], [""inferiortemporal"", 0.286], [""precentral"", 0.143]]",0.0,3.9647714899813775
