cluster_id,n_total,n_with_coords,n_missing,distance_mm,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,metric,mirror_to
1,78,43,35,39.78175701227312,-44.54308216516362,-12.359066843293434,-10.975655275721882,13.537855981097886,15.783671812916745,23.528683470454304,mean_pairwise,left
2,10,5,5,30.83310778702857,-24.184934997558592,28.758976554870607,47.03571701049805,3.775418656448007,17.589569630679456,17.610800039948153,mean_pairwise,left
3,130,77,53,42.4279704203761,-42.91730470161934,-19.243045938479437,3.1851351205985265,12.79175277388028,22.31431984245291,22.010652138388924,mean_pairwise,left
4,108,81,27,56.162091858861416,-35.37160502098225,-14.015121950411503,16.996586629637964,19.146557674589854,20.42808300735946,32.21524578388227,mean_pairwise,left
5,121,71,50,48.17526561483202,-45.74891387240987,-13.10445087728366,10.925330840365987,13.630407276774973,25.186874252476905,23.976850568980144,mean_pairwise,left
6,87,35,52,45.8373769806908,-35.34079437255859,-10.23653433578355,-13.554010943004064,9.520093037853496,29.067475324497334,21.88839759688618,mean_pairwise,left
7,125,24,101,58.759931396808824,-40.1598114669323,-10.302375261982283,0.9771361698706945,13.09222839302069,27.02316539376793,33.32864958042903,mean_pairwise,left
8,76,4,72,40.08399813138966,-60.32384967803955,-12.111387014389038,-7.583086967468262,3.4689237329509353,4.590212460699357,31.147964218688085,mean_pairwise,left
9,189,97,92,58.17007156943174,-42.98726674330603,-13.336645629602609,6.760876727933736,18.683982386125635,27.207499913448274,29.282509050676463,mean_pairwise,left
10,8,5,3,28.829901769105497,-48.50559844970703,2.143313407897949,10.066913032531739,8.760761075873841,18.38580718331387,15.187318997123755,mean_pairwise,left
11,36,20,16,67.099707132972,-33.1631924033165,-41.93263725042343,8.363348484039307,16.895767400367742,38.279493657619234,29.249415935646663,mean_pairwise,left
12,130,125,5,60.726212226235106,-43.42204724597931,-16.56376906824112,5.310462841033935,17.26213902976704,31.81401438473075,29.04948683144662,mean_pairwise,left
13,8,2,6,70.88710419700949,-42.3370304107666,-66.42759132385254,-5.299483299255371,14.535398483276367,31.524511337280266,7.153513908386231,mean_pairwise,left
14,49,25,24,39.57133224705467,-42.12887763977051,-11.834368591308595,23.845671606063842,13.55853294178089,22.970757377540725,17.24664950908753,mean_pairwise,left
15,57,43,14,42.03828245526391,-46.983524588651434,-28.338297608286837,-17.877289566882823,11.655697660534729,25.336509962341655,18.087168627313588,mean_pairwise,left
16,66,9,57,40.93401291983507,-49.676478915744354,-11.719180982145998,-15.035447862413195,10.364879819472202,13.496578433457321,26.500008568643604,mean_pairwise,left
17,78,19,59,47.86304921755363,-40.5131615714023,-10.091660998369518,-11.604537719174436,12.942542509045197,16.62294690854515,34.55883674328118,mean_pairwise,left
18,110,73,37,52.950592243768426,-35.80068798587747,15.762930207056542,-3.773507542806129,12.92432009941052,34.17036266936083,21.24897036415191,mean_pairwise,left
19,72,7,65,40.66239178708913,-55.599190848214285,-16.650762353624618,-16.485272543770925,7.686164057349994,14.655084553774383,27.24541990022977,mean_pairwise,left
