space,method,k,mean,std
band-z → unit-norm,cnmf,5,0.42466884341261596,0.01092950510045371
band-z → unit-norm,cnmf,8,0.4965182139385667,0.007852240212480396
band-z → unit-norm,cnmf,12,0.5179946074623203,0.00624694454386697
band-z → unit-norm,cnmf,20,0.5146350306099479,0.006075110186398488
band-z → unit-norm,cnmf,30,0.47988969737555937,0.011506647178014568
band-z → unit-norm,kmeans,5,0.3062744522874275,0.00876348451561573
band-z → unit-norm,kmeans,8,0.3577232764952975,0.00682013742640465
band-z → unit-norm,kmeans,12,0.39252305357489514,0.006814292910205364
band-z → unit-norm,kmeans,20,0.4418294710416193,0.007632241304445301
band-z → unit-norm,kmeans,30,0.48100619121971466,0.00792904146311686
band-z → unit-norm,kmeans,50,0.5204925298422375,0.0069431066909710565
band-z → unit-norm,kmeans,80,0.553918247846974,0.01182275867275379
band-z → unit-norm,kmeans,120,0.5748204562569696,0.013463051672997488
band-z → unit-norm,kmeans,200,0.6029845134507766,0.013254759727550901
band-z → unit-norm,kmeans,300,0.6173142235848803,0.011661153507502537
raw dB,cnmf,5,0.5103618320192065,0.022427325535067173
raw dB,cnmf,8,0.555571622523662,0.020728069401797777
raw dB,cnmf,12,0.5765146228847419,0.018754690271550974
raw dB,cnmf,20,0.5423598443771305,0.01424559445634919
raw dB,cnmf,30,0.5011904709498216,0.008986159561757143
raw dB,kmeans,5,0.36380653936810714,0.015814299690188955
raw dB,kmeans,8,0.40537387124189883,0.012863498762826846
raw dB,kmeans,12,0.4432972020457314,0.014235283981127942
raw dB,kmeans,20,0.4942475141963294,0.01660448263199503
raw dB,kmeans,30,0.5304359031379556,0.015342601180427858
raw dB,kmeans,50,0.5739843813512651,0.016805660748653736
raw dB,kmeans,80,0.614006750675424,0.013599811808188242
raw dB,kmeans,120,0.6472988162750725,0.015455947562207023
raw dB,kmeans,200,0.6787988099165572,0.0157880593663535
raw dB,kmeans,300,0.7011223578397225,0.014934151848881244
