space,k,r2,added
raw dB,2,0.13258577889938972,
raw dB,3,0.24048949711318202,0.1079037182137923
raw dB,4,0.28756628376971194,0.04707678665652992
raw dB,5,0.32026433697097145,0.032698053201259514
raw dB,6,0.3391926714225195,0.018928334451548068
raw dB,7,0.3565498324205515,0.017357160998031973
raw dB,8,0.37399381102021656,0.017443978599665066
raw dB,9,0.3875974856647615,0.013603674644544927
raw dB,10,0.4010103067757037,0.013412821110942219
raw dB,11,0.41293317436323507,0.01192286758753136
raw dB,12,0.4236029577712991,0.010669783408064015
raw dB,13,0.43248319950306946,0.008880241731770377
raw dB,14,0.44195679291581413,0.009473593412744674
raw dB,15,0.4519804084818697,0.010023615566055577
raw dB,16,0.46250096473297153,0.01052055625110182
raw dB,17,0.47149978647227164,0.008998821739300111
raw dB,18,0.4787803747888716,0.007280588316599945
raw dB,19,0.48566101590870614,0.006880641119834552
raw dB,20,0.49188076411746473,0.006219748208758591
raw dB,21,0.498038105915352,0.006157341797887295
raw dB,22,0.5028491679674361,0.004811062052084036
raw dB,23,0.5089902601413621,0.006141092173925999
raw dB,24,0.516981957634215,0.00799169749285289
raw dB,25,0.5184866772610934,0.0015047196268784813
raw dB,26,0.5243703295338409,0.005883652272747453
raw dB,27,0.5312657729703099,0.006895443436468973
raw dB,28,0.5369276256545972,0.005661852684287316
raw dB,29,0.5373161529179882,0.0003885272633910031
raw dB,30,0.540515893134629,0.003199740216640823
raw dB,31,0.5433353604221235,0.0028194672874944926
raw dB,32,0.5503625408809643,0.007027180458840765
band-z → unit-norm,2,0.12494508549199423,
band-z → unit-norm,3,0.1984740940528179,0.07352900856082367
band-z → unit-norm,4,0.2325244265188383,0.034050332466020405
band-z → unit-norm,5,0.2605611774550687,0.02803675093623037
band-z → unit-norm,6,0.286881245193637,0.02632006773856832
band-z → unit-norm,7,0.30348818290798807,0.016606937714351067
band-z → unit-norm,8,0.3213125637504268,0.01782438084243876
band-z → unit-norm,9,0.33355796683088945,0.012245403080462625
band-z → unit-norm,10,0.3460184319840862,0.012460465153196765
band-z → unit-norm,11,0.3581360351100755,0.012117603125989307
band-z → unit-norm,12,0.36740267636362234,0.009266641253546815
band-z → unit-norm,13,0.37694911621611893,0.009546439852496591
band-z → unit-norm,14,0.385931132823674,0.008982016607555043
band-z → unit-norm,15,0.39501119430795706,0.009080061484283086
band-z → unit-norm,16,0.4062028075836416,0.01119161327568452
band-z → unit-norm,17,0.41082722646549896,0.004624418881857384
band-z → unit-norm,18,0.41823299269880965,0.007405766233310684
band-z → unit-norm,19,0.4283197500640785,0.010086757365268872
band-z → unit-norm,20,0.43359235237377514,0.005272602309696617
band-z → unit-norm,21,0.4399988462354213,0.006406493861646156
band-z → unit-norm,22,0.4467105173934717,0.006711671158050381
band-z → unit-norm,23,0.44715501247050016,0.0004444950770284839
band-z → unit-norm,24,0.4543791418241069,0.007224129353606723
band-z → unit-norm,25,0.4602178282885969,0.005838686464490039
band-z → unit-norm,26,0.4660307638461001,0.005812935557503174
band-z → unit-norm,27,0.47169905987916505,0.005668296033064957
band-z → unit-norm,28,0.47329589080798795,0.001596830928822901
band-z → unit-norm,29,0.47688213692897385,0.003586246120985903
band-z → unit-norm,30,0.48226760915853184,0.005385472229557986
band-z → unit-norm,31,0.4845409932389042,0.002273384080372365
band-z → unit-norm,32,0.4940560800950129,0.00951508685610869
