,raw dB,unit-norm,row z (correlation distance),peak-norm  x / max|x|,soft norm  x / ‖x‖^0.5,band-z  (concat_bands5z),band-z → unit-norm,band-z → row z,band-z → soft norm,per-bin column z  (trap),per-electrode per-band z  (trap)
raw dB,1.0,0.417,0.359,0.424,0.563,0.524,0.38,0.354,0.426,0.488,0.149
unit-norm,0.417,1.0,0.568,0.555,0.709,0.334,0.567,0.418,0.495,0.393,0.167
row z (correlation distance),0.359,0.568,1.0,0.402,0.571,0.282,0.412,0.52,0.426,0.338,0.231
peak-norm  x / max|x|,0.424,0.555,0.402,1.0,0.519,0.412,0.498,0.343,0.421,0.411,0.14
soft norm  x / ‖x‖^0.5,0.563,0.709,0.571,0.519,1.0,0.394,0.522,0.439,0.525,0.473,0.181
band-z  (concat_bands5z),0.524,0.334,0.282,0.412,0.394,1.0,0.342,0.322,0.447,0.366,0.114
band-z → unit-norm,0.38,0.567,0.412,0.498,0.522,0.342,1.0,0.55,0.508,0.45,0.204
band-z → row z,0.354,0.418,0.52,0.343,0.439,0.322,0.55,1.0,0.483,0.388,0.262
band-z → soft norm,0.426,0.495,0.426,0.421,0.525,0.447,0.508,0.483,1.0,0.502,0.17
per-bin column z  (trap),0.488,0.393,0.338,0.411,0.473,0.366,0.45,0.388,0.502,1.0,0.163
per-electrode per-band z  (trap),0.149,0.167,0.231,0.14,0.181,0.114,0.204,0.262,0.17,0.163,1.0
