transform,amp,elev,vband,vcond,peakt,bal,pat,stab,ward_amp,ward_bal
raw dB,0.48331449370886725,0.7043916657043277,0.43350093785899463,0.37780661890182854,0.08629423214986931,0.16933638443935928,0.10775862068965517,0.48418619320201445,0.4624758709206891,0.07734806629834254
unit-norm,0.19385605928931782,0.6153014022726717,0.422078782813258,0.3712281681912223,0.12269698657339545,0.3380281690140845,0.14285714285714285,0.689671656231043,0.22193892189105036,0.1362397820163488
row z (correlation distance),0.17011483346109912,0.4054180599904642,0.37331048767075103,0.3128445416305817,0.05728596189382407,0.3300653594771242,0.062192118226600986,0.6517573424689012,0.20947710151661536,0.15432098765432098
peak-norm  x / max|x|,0.24736132048841875,0.6543166716155726,0.42049887178433676,0.40842627938552284,0.12866104805843015,0.12406947890818859,0.08189655172413793,0.6602783641288957,0.2144170860383896,0.13756613756613756
soft norm  x / ‖x‖^0.5,0.29041097933264304,0.6464346988437781,0.4300220633230871,0.36773108044709324,0.10426058540343597,0.36917562724014336,0.15763546798029557,0.692252349187224,0.25913483196430487,0.12244897959183673
band-z  (concat_bands5z),0.509531209976012,0.7083282774400643,0.4233244702985066,0.33327752039240843,0.10309889308592957,0.05843071786310518,0.15948275862068967,0.6305110007927308,0.33508251732663963,0.06111111111111111
band-z → unit-norm,0.19750225713268832,0.6090144612641242,0.4373064158794579,0.3878564271252139,0.12985038998472942,0.2616487455197133,0.10652709359605911,0.6587755210819882,0.20211314002033065,0.12224938875305623
band-z → row z,0.18878509557936773,0.4592486173132996,0.40636516091997255,0.31016117601516535,0.06122211223236229,0.49019607843137253,0.09421182266009852,0.5436685361368633,0.20787262668338735,0.15337423312883436
band-z → soft norm,0.3018605190752647,0.6638597636265029,0.43085120732041343,0.35744794520118617,0.10475534072285664,0.35294117647058826,0.12807881773399016,0.636345310566732,0.27084295706427175,0.14840182648401826
per-bin column z  (trap),0.3919317687304271,0.6841127695048235,0.4136399300203142,0.39101361210413205,0.10034530456552349,0.20304568527918782,0.10960591133004927,0.48244680715545246,0.41028844034821044,0.03571428571428571
per-electrode per-band z  (trap),0.11832832336751764,0.3148917582732116,0.29892100227557206,0.32109547270164446,0.030531044390526563,0.29941860465116277,0.0,0.47529337641498887,0.11307759815284435,0.1362397820163488
