k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.18855218855218855
6,6,0,0.0,0.0,0.2077451533973273
7,7,0,0.0,0.0,0.22926829268292684
8,8,0,0.0,0.0,0.25192465192465197
9,9,1,0.1111111111111111,0.055522740696987594,0.34574468085106386
10,10,1,0.1,0.05316007088009451,0.35641362365500295
11,11,2,0.18181818181818182,0.14766686355581807,0.3597122302158273
12,12,3,0.25,0.1836975782634377,0.39386724386724387
13,13,5,0.38461538461538464,0.2669816893089191,0.3879781420765027
14,14,4,0.2857142857142857,0.2067336089781453,0.42305748365792845
15,15,7,0.4666666666666667,0.38393384524512697,0.44242424242424244
16,16,6,0.375,0.2610750147666864,0.39552388598956245
17,17,7,0.4117647058823529,0.30773774365032486,0.40601503759398494
18,18,9,0.5,0.41405788541051386,0.5082712022367195
19,19,9,0.47368421052631576,0.40224453632604845,0.4642857142857143
20,20,11,0.55,0.4926166568222091,0.5413915382734165
21,21,13,0.6190476190476191,0.5942114589486119,0.6101694915254238
22,22,11,0.5,0.3987005316007088,0.495409604519774
23,23,13,0.5652173913043478,0.48375664500886,0.66
24,24,12,0.5,0.3532191376255168,0.5106100795755968
25,25,14,0.56,0.5014766686355582,0.5462184873949579
26,26,15,0.5769230769230769,0.4949793266391022,0.6359649122807017
27,27,18,0.6666666666666666,0.6261075014766686,0.7419354838709677
28,28,15,0.5357142857142857,0.4689899586532782,0.7231963470319634
29,29,19,0.6551724137931034,0.5688127584170112,0.68
30,30,21,0.7,0.5942114589486119,0.6637206606780643
