k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.19377162629757785
6,6,0,0.0,0.0,0.21095403332904938
7,7,0,0.0,0.0,0.23267326732673269
8,8,0,0.0,0.0,0.2693735336344854
9,9,1,0.1111111111111111,0.06575829383886256,0.3281733746130031
10,10,0,0.0,0.0,0.3171169231873139
11,11,1,0.09090909090909091,0.04443127962085308,0.36024844720496896
12,12,3,0.25,0.15995260663507108,0.35247830178814177
13,13,4,0.3076923076923077,0.20201421800947866,0.39705882352941174
14,14,5,0.35714285714285715,0.28791469194312796,0.4185031185031185
15,15,6,0.4,0.3068720379146919,0.43352601156069365
16,16,7,0.4375,0.3246445497630332,0.4790156009668205
17,17,9,0.5294117647058824,0.4425355450236967,0.5149253731343284
18,18,9,0.5,0.403436018957346,0.515218753263026
19,19,8,0.42105263157894735,0.3963270142180095,0.44166666666666665
20,20,11,0.55,0.43483412322274884,0.5617882117882118
21,21,12,0.5714285714285714,0.5029620853080569,0.5642857142857143
22,22,12,0.5454545454545454,0.4591232227488152,0.6151952461799661
23,23,12,0.5217391304347826,0.4318720379146919,0.5189873417721519
24,24,15,0.625,0.5065165876777251,0.6333878887070377
25,25,15,0.6,0.4958530805687204,0.7321428571428571
26,26,16,0.6153846153846154,0.5308056872037915,0.7252380952380952
27,27,19,0.7037037037037037,0.6522511848341233,0.7
28,28,19,0.6785714285714286,0.5793838862559242,0.7638918918918919
29,29,22,0.7586206896551724,0.7002369668246445,0.7272727272727273
30,30,21,0.7,0.6368483412322274,0.7879310344827586
